checkpoint,method,domain,n,pref_gain,ci_low,ci_high
1000,LGSD-Small,code,142,0.02422111769850191,-0.052607749582743855,0.11939904464459784
1000,LGSD-Small,complexity,173,-0.023402460045370856,-0.08034952759132692,0.03159017795755422
1000,LGSD-Small,creativity,214,0.10100423424161772,0.025362837082028796,0.17552924338528297
1000,LGSD-Small,domain_knowledge,483,0.0696385781092281,0.02599670159495079,0.11408304104410548
1000,LGSD-Small,instruction_following,217,0.03623198338626539,-0.040378985160079574,0.12018432446969901
1000,LGSD-Small,math,69,-0.04189110274123823,-0.14070069791263554,0.05533579466442559
1000,LGSD-Small,other,30,0.20730642252061252,-0.025903982451712264,0.47169697259119747
1000,LGSD-Small,problem_solving,220,0.0879909467616948,0.018472624985220527,0.16171657888041194
1000,LGSD-Small,real_world,512,0.0773818385442423,0.029480273045954724,0.12634977630488467
1000,LGSD-Small,specificity,434,0.040190536023026746,-0.006031548515170693,0.08781588850716746
1000,LGSD-Small,technical_accuracy,371,0.055246532430821435,0.0003315383636115722,0.11257930397278422
1000,LGSD-Medium,code,142,0.027222298016052148,-0.07271069289549568,0.15014281621338563
1000,LGSD-Medium,complexity,173,-0.03885721309929034,-0.11280639369828697,0.03044991803493105
1000,LGSD-Medium,creativity,214,0.10208935072188705,0.0037695026142373143,0.1972807101270185
1000,LGSD-Medium,domain_knowledge,483,0.07643365076997614,0.019360189301543342,0.13439983040906028
1000,LGSD-Medium,instruction_following,217,0.017454287405503473,-0.0831251909010123,0.122839352837733
1000,LGSD-Medium,math,69,-0.09535885503718608,-0.2321130348383015,0.031392901076917765
1000,LGSD-Medium,other,30,0.23099302541223707,-0.06578390540920248,0.5657369601499237
1000,LGSD-Medium,problem_solving,220,0.08125667339728963,-0.010618451185203938,0.1832399198320418
1000,LGSD-Medium,real_world,512,0.08365677841449766,0.022880194956855143,0.14791166068315842
1000,LGSD-Medium,specificity,434,0.03754189824494712,-0.022979409216132566,0.09691043991972804
1000,LGSD-Medium,technical_accuracy,371,0.06929165683269804,-0.005271399123812767,0.14490423793263824
1000,LGSD-Large,code,142,0.025393074319783163,-0.10713191402187368,0.1830997537847772
1000,LGSD-Large,complexity,173,-0.014863259332117375,-0.11333517448077833,0.08068760244855248
1000,LGSD-Large,creativity,214,0.1255480286722051,0.004979838559999638,0.2496989786476454
1000,LGSD-Large,domain_knowledge,483,0.11103931311365751,0.04016357495322609,0.18221539115540358
1000,LGSD-Large,instruction_following,217,0.040893176863478785,-0.08586282704386065,0.17368269055513333
1000,LGSD-Large,math,69,-0.03328340034815494,-0.22827484954802735,0.16076028283229454
1000,LGSD-Large,other,30,0.2433030837616585,-0.1644308866152278,0.6517703002920338
1000,LGSD-Large,problem_solving,220,0.10875250499121498,-0.0076538193147800936,0.24119549478440463
1000,LGSD-Large,real_world,512,0.11172257677215576,0.03323883763967519,0.191828290127768
1000,LGSD-Large,specificity,434,0.05132766582809349,-0.02921257930526818,0.13309806129837667
1000,LGSD-Large,technical_accuracy,371,0.09821626210508125,0.0065940567069547665,0.19478789792699627
1000,OPSD,code,142,0.005654399404111524,-0.06323912945369377,0.08025054531085461
1000,OPSD,complexity,173,-0.006669138787026181,-0.056367928116358386,0.04013901304048261
1000,OPSD,creativity,214,0.08400192153371559,0.016590526330332766,0.14976068540615672
1000,OPSD,domain_knowledge,483,0.06684178347556449,0.028884559193407943,0.10516313705916064
1000,OPSD,instruction_following,217,0.060063732686880776,-0.004134533700743847,0.12961423901151478
1000,OPSD,math,69,-0.01458458987338329,-0.09097394522814611,0.06319907405389384
1000,OPSD,other,30,0.16035994898905254,-0.1002692671651228,0.43074607575099205
1000,OPSD,problem_solving,220,0.07856949214824381,0.017801705392573013,0.1434905120588298
1000,OPSD,real_world,512,0.07206730818724613,0.03120732897078118,0.1136513754119545
1000,OPSD,specificity,434,0.039511275278586375,-0.004100666686954071,0.08214372003373988
1000,OPSD,technical_accuracy,371,0.04773533822837704,0.0022454228422884135,0.09371877945181918
