checkpoint,method,pair_count,preference_margin,preference_accuracy,pref_gain,pref_gain_raw,target_kl,target_kl_raw,achieved_forward_kl,raw_forward_kl,mean_alpha,radius,mean_response_tokens,rollout_cap_fraction,relative_update_norm_mean,response_tokens,schema_version,preferred_mean_logprob,rejected_mean_logprob,preferred_token_count,rejected_token_count,preferred_truncation_fraction,rejected_truncation_fraction,aggregation,preference_definition,external_judge_used,pref_margin_ci_low,pref_margin_ci_high,pref_gain_ci_low,pref_gain_ci_high,pref_acc_ci_low,pref_acc_ci_high,preferred_logprob_delta,preferred_logprob_delta_ci_low,preferred_logprob_delta_ci_high,rejected_logprob_delta,rejected_logprob_delta_ci_low,rejected_logprob_delta_ci_high,base_preference_margin,base_preference_accuracy,pref_gain_raw_ci_low,pref_gain_raw_ci_high,raw_preference_gain_positive,locality_excess,locality_excess_ci_low,locality_excess_ci_high,criterion_point,criterion_ci_supported,style_distance,style_n,style_raw,policy_kl,movement_n,policy_kl_raw
250,Base,600,0.060866813415167476,0.5466666666666666,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,LGSD-Small,600,0.14323832154276112,0.55,0.08237150812759363,1.2636703680950365,0.0007503392415997915,0.006731545486938302,0.0007491427653685208,0.11611764281044491,0.12078267969476017,0.001,447.648,0.764,0.0015448804739051228,111912,arena-human-preference-summary-v1,-2.037378832531251,-2.180617154074012,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.03854775432686507,0.24348538582996695,0.03526656018449913,0.12902845092076876,0.5083333333333333,0.59,-0.7554723999993089,-0.8017958179619321,-0.7106271036217725,-0.8378439081269026,-0.8885562714982054,-0.788712164853428,0.060866813415167476,0.5466666666666666,1.0323754657687712,1.6465873475659591,True,0.08193271683534827,0.036446602076936896,0.12892731363374535,True,True,,,,,,
250,LGSD-Medium,600,0.1446533184971771,0.5433333333333333,0.08378650508200963,1.285377992040327,0.0033692258950904514,0.030226457728927732,0.003420396480017389,0.12268872008938102,0.2555586511845275,0.004,445.072,0.74,0.001578658780354924,111268,arena-human-preference-summary-v1,-2.0554731312199808,-2.200126449717158,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.03825793279890912,0.24892139419428977,0.03593045613988737,0.13240150860633504,0.5033333333333333,0.5833333333333334,-0.7735666986880393,-0.8217339490995602,-0.7270843603427767,-0.8573532037700489,-0.9107830373774554,-0.8063951500488387,0.060866813415167476,0.5466666666666666,1.0572810645255437,1.6079092944570654,True,0.08181621364260518,0.03491834461026515,0.12993844445132946,True,True,,,,,,
250,LGSD-Large,600,0.13775280874365697,0.5516666666666666,0.07688599532848948,1.1795165127680651,0.014050459801112273,0.1260513965149009,0.014431993103161522,0.14381809218204852,0.49411221861251514,0.016,451.868,0.76,0.0015709772154294198,112967,arena-human-preference-summary-v1,-1.9544774542475867,-2.092230262991244,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.03807079543351728,0.23645202430910722,0.03302779760298386,0.12015030329555793,0.5133333333333333,0.5916666666666667,-0.6725710217156451,-0.7154129570278729,-0.6300534477966792,-0.7494570170441345,-0.7967100431619065,-0.7038949421433693,0.060866813415167476,0.5466666666666666,0.969348567366482,1.5324878038937282,True,0.068669419317315,0.029465079165981557,0.10848447333276043,True,True,,,,,,
250,OPSD,600,0.1260511448731943,0.555,0.06518433145802682,1.0,0.1114661177074014,1.0,,,1.0,0.004,454.932,0.76,0.0014754912809136034,113733,arena-human-preference-summary-v1,-1.8689587677236121,-1.9950099125968066,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.01781625595312611,0.22699232969978647,0.02758765191385937,0.10333542579278537,0.515,0.5933333333333334,-0.5870523351916704,-0.623317303506713,-0.5520490873007117,-0.6522366666496971,-0.694147717847981,-0.6122733820425282,0.060866813415167476,0.5466666666666666,1.0,1.0,True,0.0,0.0,0.0,False,False,,,,,,
500,Base,600,0.060866813415167476,0.5466666666666666,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,LGSD-Small,600,0.14825916254490243,0.555,0.08739234912973497,0.9055725789368929,0.0007276284265893106,0.011154833647981867,0.0007852456506419381,0.13165784181036383,0.21580652333124084,0.001,477.9,0.878,0.001218076542908981,238950,arena-human-preference-summary-v1,-2.034150542625806,-2.1824097051707088,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.04171310267805341,0.24995292108879508,0.04216466678259809,0.13236423742043582,0.515,0.595,-0.7522441100938644,-0.7974847599471341,-0.7082807381624997,-0.8396364592235993,-0.8885648029230021,-0.7905619177643102,0.060866813415167476,0.5466666666666666,0.7256730425917647,1.0935982638417505,True,0.08631585107831098,0.04191495957166273,0.1307296652655799,True,True,,,,,,
500,LGSD-Medium,600,0.16888680451332821,0.545,0.10801999109816075,1.1193192869811384,0.002786892960338751,0.04272417930815238,0.003301016488509047,0.12238621007980031,0.3718821572462678,0.004,478.536,0.87,0.0011931799799211318,239268,arena-human-preference-summary-v1,-2.3066832463867053,-2.475570050900034,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.054615797654814904,0.2783382802651243,0.047169065565027334,0.16808586271580245,0.505,0.585,-1.0247768138547637,-1.0878788839826137,-0.9643647522458314,-1.1327968049529245,-1.1991590353979753,-1.0712158385207295,0.060866813415167476,0.5466666666666666,0.8540387912103067,1.3475986635734643,True,0.10389689099417708,0.04740192973938137,0.16317439143218757,True,True,,,,,,
500,LGSD-Large,600,0.14740322642871365,0.5483333333333333,0.08653641301354618,0.8967032410158852,0.01030287979258067,0.15794725162140838,0.013398876226128394,0.11505166365085727,0.6172894006233218,0.016,481.934,0.88,0.0011061144585710453,240967,arena-human-preference-summary-v1,-2.064035739783633,-2.211438966212347,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.043414322136017994,0.25089245941311805,0.03667149357391965,0.138822895801415,0.5083333333333333,0.5883333333333334,-0.7821293072516915,-0.8317010982822608,-0.7354772067825223,-0.8686657202652377,-0.9219427310482792,-0.817446201694856,0.060866813415167476,0.5466666666666666,0.6827549266686291,1.062618349173562,True,0.07129370174021582,0.02910507358985047,0.11571065773513506,True,True,,,,,,
500,OPSD,600,0.15737188784258688,0.5533333333333333,0.09650507442741939,1.0,0.0652298769799183,1.0,,,1.0,0.004,482.464,0.878,0.0010559331537049433,241232,arena-human-preference-summary-v1,-2.06114404687839,-2.218515934720977,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.04982900977023394,0.2627821247955075,0.047603647436427005,0.14795359228895932,0.5133333333333333,0.5933333333333334,-0.7792376143464486,-0.8276570813909259,-0.7305241654495783,-0.8757426887738681,-0.9283417195890941,-0.8245043137291729,0.060866813415167476,0.5466666666666666,1.0,1.0,True,0.0,0.0,0.0,False,False,,,,,,
1000,Base,600,0.060866813415167476,0.5466666666666666,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,LGSD-Small,600,0.14089095245325378,0.56,0.0800241390380863,1.0893172564955538,0.0005651469938406016,0.011599229303771445,0.0007649467801745774,0.171015740107561,0.3389781615465575,0.001,493.121,0.935,0.0009023803297158479,493121,arena-human-preference-summary-v1,-2.0423000959234945,-2.1831910483767483,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.037077464295725324,0.23945576325633786,0.03577366246867036,0.1254375937370673,0.52,0.6,-0.7603936633915527,-0.8078559438383434,-0.7136583661135291,-0.8404178024296391,-0.8899394514098576,-0.7908905754592798,0.060866813415167476,0.5466666666666666,0.7879181957354593,1.4846335850581287,True,0.07917202884428856,0.03576072241950855,0.12378948061169917,True,True,0.17384074832786767,600,0.9732512723541418,2.008971695209829,128,0.8122304206447384
1000,LGSD-Medium,600,0.14858338345637034,0.5583333333333333,0.08771657004120287,1.194029383821387,0.002572852484863597,0.05280591821590435,0.003206582967636819,0.09343548065518092,0.4845970259048838,0.004,481.222,0.904,0.001093392396190129,481222,arena-human-preference-summary-v1,-2.178688098887031,-2.3272714823434018,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.03821754159041371,0.25176669808835245,0.029049338956226023,0.1471768426180278,0.5183333333333333,0.5983333333333334,-0.8967816663550896,-0.9580384681570824,-0.8343810182509761,-0.9844982363962924,-1.0479789520930467,-0.9193895511516456,0.060866813415167476,0.5466666666666666,0.64238842572195,1.7648116269806358,True,0.08383730702930677,0.027403942716586617,0.14259998994679854,True,True,0.17342550929109452,600,0.9709265474276915,2.2411895191515865,128,0.9061164526237601
1000,LGSD-Large,600,0.16756505868581886,0.545,0.1066982452706514,1.4524147489521702,0.008399137779230473,0.1723861687615063,0.01302370835598629,0.09824588578308902,0.67780248521794,0.016,491.305,0.928,0.0009836408483527845,491305,arena-human-preference-summary-v1,-2.3471670857603133,-2.5147321444461324,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.05537031641489999,0.27240319343449004,0.03431627377730359,0.18315147511506077,0.505,0.5833333333333334,-1.0652606532283713,-1.1448488539956112,-0.9821173872098405,-1.1719588984990228,-1.2530473070890507,-1.0898627709747581,0.060866813415167476,0.5466666666666666,0.690434929314046,2.203585379319445,True,0.09403429943214159,0.02597639842840396,0.16343630878362747,True,True,0.19314644637601708,600,1.081334649639249,2.5492263045796664,128,1.030656210151887
1000,OPSD,600,0.13432946955221634,0.5616666666666666,0.07346265613704885,1.0,0.04872280554509309,1.0,,,1.0,0.004,496.821,0.938,0.0007668698795536379,496821,arena-human-preference-summary-v1,-1.992675136583413,-2.1270046061356296,277804,233369,0.0016666666666666668,0.0016666666666666668,pair_macro_after_per_response_token_mean,mean_logprob(y+|x)-mean_logprob(y-|x),False,0.0323841417219542,0.23451749602704777,0.03406963398912277,0.11571581326587646,0.52,0.6016666666666667,-0.7107687040514713,-0.7560599916943691,-0.6662521183535066,-0.7842313601885202,-0.8331031937395362,-0.7342464465776629,0.060866813415167476,0.5466666666666666,1.0,1.0,True,0.0,0.0,0.0,False,False,0.1786185677490811,600,1.0,2.473401197673848,128,1.0
