method,episode_start,episode_end,episode_mid,n_episodes,response_tokens,mean_alpha,target_kl,relative_update_norm,rollout_cap_fraction,target_kl_raw
LGSD-Small,1,50,25.5,50,24716,0.11075568457679236,0.0007343946707495978,0.0016102243558125176,0.92,0.008986645783446257
LGSD-Medium,1,50,25.5,50,24554,0.24264885558361163,0.0035316550490791018,0.0016649204342607275,0.88,0.04321618091672512
LGSD-Large,1,50,25.5,50,24627,0.4972565679944776,0.015581444619713888,0.001719779312899428,0.9,0.19066712922743506
OPSD,1,50,25.5,50,24449,1.0,0.0817206651343019,0.0016526113413063701,0.88,1.0
LGSD-Small,51,100,75.5,50,22918,0.0730102975826861,0.0006992279189342584,0.002072421595044787,0.74,0.0045461624413313745
LGSD-Medium,51,100,75.5,50,22862,0.16372145918992215,0.0033513150848177376,0.0021187730223369886,0.72,0.021789208289748115
LGSD-Large,51,100,75.5,50,23194,0.3520765068552212,0.01568545557963676,0.002106539014394248,0.76,0.10198195338081278
OPSD,51,100,75.5,50,23359,1.0,0.15380618883681701,0.0019819687500871033,0.78,1.0
LGSD-Small,101,150,125.5,50,14165,0.060135015884221675,0.0006233618745088373,0.0020097418982498324,0.22,0.002350944486966117
LGSD-Medium,101,150,125.5,50,14585,0.13295123414466917,0.0032552696345632694,0.0020022166098131065,0.24,0.012276910914698921
LGSD-Large,101,150,125.5,50,14934,0.25042478572385163,0.013982555000475454,0.0019050168947093446,0.2,0.052733752153144
OPSD,101,150,125.5,50,15497,1.0,0.26515380433898844,0.0016414171013143738,0.2,1.0
LGSD-Small,151,200,175.5,50,24513,0.16246608942193938,0.0008338724244314831,0.0010365207678195922,0.94,0.011368352136176749
LGSD-Medium,151,200,175.5,50,24020,0.27966668401332223,0.0034479876597534108,0.0011084546569188137,0.88,0.04700711611130815
LGSD-Large,151,200,175.5,50,24612,0.5656806131155534,0.01412771507175141,0.0012033866174438216,0.94,0.19260600915630632
OPSD,151,200,175.5,50,24828,1.0,0.07335033384283607,0.0011045737983053977,0.94,1.0
LGSD-Small,201,250,225.5,50,25600,0.166875,0.0008017627103526112,0.000995493752598885,1.0,0.01774918691689974
LGSD-Medium,201,250,225.5,50,25247,0.3991687131144294,0.0032183717726205424,0.0009989291784449844,0.98,0.07124736711089162
LGSD-Large,201,250,225.5,50,25600,0.693125,0.011061671846305297,0.0009201642377002577,1.0,0.24488003579903678
OPSD,201,250,225.5,50,25600,1.0,0.04517179936784707,0.0009968854135547725,1.0,1.0
LGSD-Small,251,300,275.5,50,25600,0.2425,0.0007074797440269491,0.0009608109781956406,1.0,0.01464960420158185
LGSD-Medium,251,300,275.5,50,25600,0.355625,0.002889752397323838,0.0008326273229474069,1.0,0.059837372332958216
LGSD-Large,251,300,275.5,50,25600,0.784375,0.009590026078517024,0.0006319622418622972,1.0,0.19857824555295114
OPSD,251,300,275.5,50,25600,1.0,0.04829343743980169,0.0009189783499227034,1.0,1.0
LGSD-Small,301,350,325.5,50,25600,0.29375,0.0006016300605160992,0.0008262718956012616,1.0,0.030670438042001667
LGSD-Medium,301,350,325.5,50,25600,0.37875,0.0030107213694617065,0.0009637450057492189,1.0,0.15348326036866092
LGSD-Large,301,350,325.5,50,25600,0.791875,0.006347394681582726,0.0006229998426857326,1.0,0.3235831918747758
OPSD,301,350,325.5,50,25600,1.0,0.0196159591751574,0.0005815141972682274,1.0,1.0
LGSD-Small,351,400,375.5,50,24638,0.2578917728711746,0.0007468258889358922,0.0010903625641610478,0.96,0.043521023955517504
LGSD-Medium,351,400,375.5,50,25600,0.436875,0.0022482587814477116,0.0008627025675644021,1.0,0.13101651366827166
LGSD-Large,351,400,375.5,50,25600,0.705,0.004431872284525011,0.0005847137142976748,1.0,0.25826584578827305
OPSD,351,400,375.5,50,25099,1.0,0.017160117595101096,0.0006228550973873518,0.98,1.0
LGSD-Small,401,450,425.5,50,25600,0.30625,0.0008432849213360052,0.0008923731704081219,1.0,0.053764825388710635
LGSD-Medium,401,450,425.5,50,25600,0.5925,0.0016279165305733017,0.0007823494404020237,1.0,0.10379012573236225
LGSD-Large,401,450,425.5,50,25600,0.633125,0.008546837935687002,0.0007669980668694502,1.0,0.5449157664408483
OPSD,401,450,425.5,50,25600,1.0,0.015684695620960306,0.0005142957308894397,1.0,1.0
LGSD-Small,451,500,475.5,50,25600,0.395625,0.0006403611755270938,0.0006865444511981239,1.0,0.033630816319977816
LGSD-Medium,451,500,475.5,50,25600,0.60125,0.0016267602157015685,0.0005970815607736463,1.0,0.08543502651589498
LGSD-Large,451,500,475.5,50,25600,0.715625,0.0060610464660373065,0.0005995846428481998,1.0,0.31831714381867127
OPSD,451,500,475.5,50,25600,1.0,0.019040904907999458,0.0005442317570136918,1.0,1.0
LGSD-Small,501,550,525.5,50,25600,0.400625,0.0008585808910378586,0.0009550989725621428,1.0,0.04168037381840283
LGSD-Medium,501,550,525.5,50,25600,0.576875,0.0014007800288343,0.0006889093774032649,1.0,0.0680017874245844
LGSD-Large,501,550,525.5,50,25600,0.733125,0.008509474751999854,0.0008843467566357632,1.0,0.41309804628062163
OPSD,501,550,525.5,50,25600,1.0,0.02059916484383294,0.0005417328871333345,1.0,1.0
LGSD-Small,551,600,575.5,50,25600,0.43625,0.0004857691018970449,0.0006140839469009609,1.0,0.02230667112874814
LGSD-Medium,551,600,575.5,50,25600,0.591875,0.0015148584068659717,0.0005978236615029891,1.0,0.06956277819362093
LGSD-Large,551,600,575.5,50,25600,0.578125,0.0069931666881359635,0.0009388717212199079,1.0,0.32112843087707865
OPSD,551,600,575.5,50,25600,1.0,0.021776853170664304,0.0005848350689328994,1.0,1.0
LGSD-Small,601,650,625.5,50,25600,0.4,0.0002740002957835389,0.00037682145983275933,1.0,0.005963242128918728
LGSD-Medium,601,650,625.5,50,25600,0.575625,0.001214468151000612,0.0006684614990661676,1.0,0.026431240234858055
LGSD-Large,601,650,625.5,50,25600,0.67625,0.0048512047172321075,0.0006577007067400469,1.0,0.10557984349280301
OPSD,601,650,625.5,50,25600,1.0,0.04594820902119254,0.0007648885357102588,1.0,1.0
LGSD-Small,651,700,675.5,50,25600,0.34625,0.0004372920190007753,0.0005576887444715898,1.0,0.007762016355047227
LGSD-Medium,651,700,675.5,50,25107,0.5241217588720277,0.002771989400725594,0.0010833307893506382,0.98,0.04920333811171495
LGSD-Large,651,700,675.5,50,25600,0.69625,0.0032310633405594736,0.0004920727610186179,1.0,0.057351987696742525
OPSD,651,700,675.5,50,25600,1.0,0.05633742561189368,0.0008121173090419612,1.0,1.0
LGSD-Small,701,750,725.5,50,25600,0.453125,0.0006791551669109029,0.0009554754619910584,1.0,0.017135965161396087
LGSD-Medium,701,750,725.5,50,25137,0.34089937144448423,0.0025242767890197955,0.0011337717469564698,0.98,0.06369077527763056
LGSD-Large,701,750,725.5,50,25600,0.67875,0.004600922627445535,0.0005937256509004844,1.0,0.11608724146617391
OPSD,701,750,725.5,50,25600,1.0,0.039633318608799706,0.0006221001512569536,1.0,1.0
LGSD-Small,751,800,775.5,50,25600,0.538125,0.000362495981079579,0.0005686954456284074,1.0,0.013651438269900383
LGSD-Medium,751,800,775.5,50,25160,0.44632352941176473,0.0035191685846525634,0.0013106381384617191,0.98,0.13253033192721256
LGSD-Large,751,800,775.5,50,25600,0.639375,0.005262043425929124,0.0006415882200380675,1.0,0.19816622735697775
OPSD,751,800,775.5,50,25600,1.0,0.026553684228191158,0.0005421758652564623,1.0,1.0
LGSD-Small,801,850,825.5,50,25600,0.521875,0.00019956525650919089,0.00034256292505731133,1.0,0.006494941047330138
LGSD-Medium,801,850,825.5,50,25600,0.58875,0.0034481570076232352,0.0011729081424370286,1.0,0.11222182096320855
LGSD-Large,801,850,825.5,50,19938,0.695223944227104,0.00676087889725332,0.0010709304939026084,0.76,0.22003584508597257
OPSD,801,850,825.5,50,25600,1.0,0.03072626141714185,0.00027882340228024794,1.0,1.0
LGSD-Small,851,900,875.5,50,25600,0.489375,0.00021917586430785427,0.0004008075022906607,1.0,0.006613430001976811
LGSD-Medium,851,900,875.5,50,25356,0.9198365278435084,0.002423979058018421,0.000986279440144903,0.98,0.07314133733240646
LGSD-Large,851,900,875.5,50,25600,0.77875,0.012089033400448045,0.0013158765824622836,1.0,0.3647754575436517
OPSD,851,900,875.5,50,25600,1.0,0.03314102730993459,0.00012720163432670362,1.0,1.0
LGSD-Small,901,950,925.5,50,25600,0.48125,0.00021631425650550214,0.00041660060090140013,1.0,0.005859871864677254
LGSD-Medium,901,950,925.5,50,17525,0.808336305278174,0.002648159888484986,0.0012654151191494078,0.64,0.07173765554978717
LGSD-Large,901,950,925.5,50,25600,0.9375,0.007502555860513147,0.0011812813022735826,1.0,0.2032414169570565
OPSD,901,950,925.5,50,25600,1.0,0.03691450282546684,0.00024115887416176717,1.0,1.0
LGSD-Small,951,1000,975.5,50,23771,0.4828690946952169,0.0003900091746468368,0.0006790061055908575,0.92,0.019917168454387818
LGSD-Medium,951,1000,975.5,50,21269,0.6603022591565189,0.002248934386276747,0.0010285102101186751,0.82,0.11484961874268704
LGSD-Large,951,1000,975.5,50,25600,0.938125,0.005909205039010327,0.0008352781861538748,1.0,0.3017740090346887
OPSD,951,1000,975.5,50,25189,1.0,0.019581557265029633,0.00026303232592273987,0.98,1.0
