base_margin_decile,pair_count,base_margin_min,base_margin_max,base_margin_mean,method,mean_gain_vs_base,median_gain_vs_base,best_method_count,best_method_share
1,60,-15.304733276367188,-0.47893108609514945,-1.2412605288735976,LGSD-Small,-0.2472001071668016,-0.23327961345096665,8,0.13333333333333333
1,60,-15.304733276367188,-0.47893108609514945,-1.2412605288735976,LGSD-Medium,-0.353746630986443,-0.31602016016269713,6,0.1
1,60,-15.304733276367188,-0.47893108609514945,-1.2412605288735976,LGSD-Large,-0.3367360430076696,-0.33556069890970674,11,0.18333333333333332
1,60,-15.304733276367188,-0.47893108609514945,-1.2412605288735976,LGSD-High,-0.20510597995110919,-0.14111895066030333,13,0.21666666666666667
1,60,-15.304733276367188,-0.47893108609514945,-1.2412605288735976,OPSD,-0.2432220879242259,-0.19482508306067925,22,0.36666666666666664
2,60,-0.47110537757650484,-0.29208933654476366,-0.37707096940963647,LGSD-Small,-0.14705518606901138,-0.057676321434782185,11,0.18333333333333332
2,60,-0.47110537757650484,-0.29208933654476366,-0.37707096940963647,LGSD-Medium,-0.20949303277965076,-0.10482233292140886,7,0.11666666666666667
2,60,-0.47110537757650484,-0.29208933654476366,-0.37707096940963647,LGSD-Large,-0.2250594722864559,-0.10016915926271214,10,0.16666666666666666
2,60,-0.47110537757650484,-0.29208933654476366,-0.37707096940963647,LGSD-High,-0.10527174795758974,-0.07636218438699788,15,0.25
2,60,-0.47110537757650484,-0.29208933654476366,-0.37707096940963647,OPSD,-0.12121834369140005,-0.045347341474232805,17,0.2833333333333333
3,60,-0.2892155613531394,-0.14996883519371929,-0.21377786493046827,LGSD-Small,-0.0544671814679177,-0.041286458216205524,12,0.2
3,60,-0.2892155613531394,-0.14996883519371929,-0.21377786493046827,LGSD-Medium,-0.07710462345724967,-0.07661710910021571,6,0.1
3,60,-0.2892155613531394,-0.14996883519371929,-0.21377786493046827,LGSD-Large,-0.08823417132909885,-0.14226225842828755,7,0.11666666666666667
3,60,-0.2892155613531394,-0.14996883519371929,-0.21377786493046827,LGSD-High,-0.02322970167181105,-0.0008174222990742774,19,0.31666666666666665
3,60,-0.2892155613531394,-0.14996883519371929,-0.21377786493046827,OPSD,-0.04816113865424077,-0.03301192917665069,16,0.26666666666666666
4,60,-0.14806384630847114,-0.039198314628588804,-0.09388460030613338,LGSD-Small,-0.023559031305916925,-0.016279371254682762,11,0.18333333333333332
4,60,-0.14806384630847114,-0.039198314628588804,-0.09388460030613338,LGSD-Medium,-0.03537220960120388,-0.020441428736410916,8,0.13333333333333333
4,60,-0.14806384630847114,-0.039198314628588804,-0.09388460030613338,LGSD-Large,-0.06204545167447053,-0.03954347035896716,13,0.21666666666666667
4,60,-0.14806384630847114,-0.039198314628588804,-0.09388460030613338,LGSD-High,-0.02127427775459568,-0.011796567934852342,10,0.16666666666666666
4,60,-0.14806384630847114,-0.039198314628588804,-0.09388460030613338,OPSD,-0.014861746910506114,-0.025488324968131082,18,0.3
5,60,-0.03919713286932058,0.030463734464277747,-0.0060802160690594876,LGSD-Small,0.014210679686398785,0.02225097181040292,9,0.15
5,60,-0.03919713286932058,0.030463734464277747,-0.0060802160690594876,LGSD-Medium,-0.0060762237822735285,0.00884968184271695,10,0.16666666666666666
5,60,-0.03919713286932058,0.030463734464277747,-0.0060802160690594876,LGSD-Large,-0.022722851613985646,-0.004934915993239697,17,0.2833333333333333
5,60,-0.03919713286932058,0.030463734464277747,-0.0060802160690594876,LGSD-High,-0.026469350094190627,-0.02496025516119904,12,0.2
5,60,-0.03919713286932058,0.030463734464277747,-0.0060802160690594876,OPSD,0.0015780474854031519,0.026550189385162237,12,0.2
6,60,0.03170690437997459,0.11036769599671581,0.07135190919930166,LGSD-Small,-0.025921632631329683,0.017130135451066897,5,0.08333333333333333
6,60,0.03170690437997459,0.11036769599671581,0.07135190919930166,LGSD-Medium,0.003132452010106762,0.060829710808911475,16,0.26666666666666666
6,60,0.03170690437997459,0.11036769599671581,0.07135190919930166,LGSD-Large,0.005092331713909522,0.07227187426667317,19,0.31666666666666665
6,60,0.03170690437997459,0.11036769599671581,0.07135190919930166,LGSD-High,0.027330179435038095,0.020859257060629965,12,0.2
6,60,0.03170690437997459,0.11036769599671581,0.07135190919930166,OPSD,0.00494386758214022,0.0397716651975471,8,0.13333333333333333
7,60,0.1124022638684754,0.2200123757916781,0.17341153773685203,LGSD-Small,0.12845927807350802,0.08571404637393842,12,0.2
7,60,0.1124022638684754,0.2200123757916781,0.17341153773685203,LGSD-Medium,0.18131563723564578,0.1167202506244504,16,0.26666666666666666
7,60,0.1124022638684754,0.2200123757916781,0.17341153773685203,LGSD-Large,0.18914581151853108,0.1174656108428454,22,0.36666666666666664
7,60,0.1124022638684754,0.2200123757916781,0.17341153773685203,LGSD-High,0.09241762709554209,0.06169145860442948,4,0.06666666666666667
7,60,0.1124022638684754,0.2200123757916781,0.17341153773685203,OPSD,0.08896558567352801,0.0625544901897035,6,0.1
8,60,0.2213075911902309,0.3836615844280915,0.3002590131011763,LGSD-Small,0.16287180920212851,0.13245607732929215,6,0.1
8,60,0.2213075911902309,0.3836615844280915,0.3002590131011763,LGSD-Medium,0.20896338364082104,0.19321473922162719,14,0.23333333333333334
8,60,0.2213075911902309,0.3836615844280915,0.3002590131011763,LGSD-Large,0.22626772331805106,0.17754614115367356,27,0.45
8,60,0.2213075911902309,0.3836615844280915,0.3002590131011763,LGSD-High,0.16152055298762497,0.14789685842951594,7,0.11666666666666667
8,60,0.2213075911902309,0.3836615844280915,0.3002590131011763,OPSD,0.12399769670016636,0.12301205864147824,6,0.1
9,60,0.3873127499164938,0.6855174930770322,0.5000833809182608,LGSD-Small,0.38130980709054446,0.30189512259175716,3,0.05
9,60,0.3873127499164938,0.6855174930770322,0.5000833809182608,LGSD-Medium,0.46486591071124367,0.37691019438831463,9,0.15
9,60,0.3873127499164938,0.6855174930770322,0.5000833809182608,LGSD-Large,0.5918552052172548,0.5475739926170421,42,0.7
9,60,0.3873127499164938,0.6855174930770322,0.5000833809182608,LGSD-High,0.3126423121893109,0.20625811517834058,1,0.016666666666666666
9,60,0.3873127499164938,0.6855174930770322,0.5000833809182608,OPSD,0.3086137209468855,0.2443878174255929,5,0.08333333333333333
10,60,0.6869539129930191,9.547816495197575,1.4956364727849791,LGSD-Small,0.6115929549692607,0.7365680222325007,2,0.03333333333333333
10,60,0.6869539129930191,9.547816495197575,1.4956364727849791,LGSD-Medium,0.7006810374210323,0.8331024316857745,6,0.1
10,60,0.6869539129930191,9.547816495197575,1.4956364727849791,LGSD-Large,0.7894193708504481,1.1197834863489367,35,0.5833333333333334
10,60,0.6869539129930191,9.547816495197575,1.4956364727849791,LGSD-High,0.6615731708331885,0.6580790837433976,8,0.13333333333333333
10,60,0.6869539129930191,9.547816495197575,1.4956364727849791,OPSD,0.6339909601627381,0.6656177021691535,9,0.15
