delta_nats_per_token,k_opsd,k_trsd,gamma,gamma_lower_bound,status
0.02,46,46,1.0,,observed
0.0225,46,46,1.0,,observed
0.025,46,47,1.0217391304347827,,observed
0.0275,47,47,1.0,,observed
0.03,47,47,1.0,,observed
0.0325,47,47,1.0,,observed
0.035,47,50,1.0638297872340425,,observed
0.0375,47,51,1.0851063829787233,,observed
0.04,50,52,1.04,,observed
0.0425,51,57,1.1176470588235294,,observed
0.045,52,59,1.1346153846153846,,observed
0.0475,52,60,1.1538461538461537,,observed
0.05,59,60,1.0169491525423728,,observed
0.0525,60,60,1.0,,observed
0.055,60,60,1.0,,observed
0.0575,60,60,1.0,,observed
0.06,60,61,1.0166666666666666,,observed
0.0625,60,61,1.0166666666666666,,observed
0.065,61,61,1.0,,observed
0.0675,61,61,1.0,,observed
0.07,61,62,1.0163934426229508,,observed
0.0725,61,,,1.0491803278688525,trsd_right_censored
0.075,61,,,1.0491803278688525,trsd_right_censored
0.0775,62,,,1.032258064516129,trsd_right_censored
