episode,window_start,window_end,opsd_style_distance,trsd_style_distance
8,1,8,0.0,0.0
9,2,9,0.0011644857197028458,0.00022861529093065602
10,3,10,0.0016829814244514463,0.0006969060353823053
11,4,11,0.002041632232763657,0.0014130240319765175
12,5,12,0.0016981158880308156,0.001052462303066548
13,6,13,0.0024671684823307505,0.0017775597005380561
14,7,14,0.001772398592903457,0.003325753984822488
15,8,15,0.0013336051746810629,0.0010735283281329
16,9,16,0.0021308083434515845,0.0023350934978085824
17,10,17,0.0018121273128871573,0.0013323847325013016
18,11,18,0.0019496170190588247,0.0013408335330526988
19,12,19,0.0035348756120381353,0.0018234046133430715
20,13,20,0.0036769451315200596,0.002959948545886437
21,14,21,0.005046958147691738,0.002872703036744806
22,15,22,0.004268970281969819,0.002293594233856777
23,16,23,0.004283010373213325,0.003881963854189041
24,17,24,0.002760295441052163,0.0019335103547890586
25,18,25,0.0035937621658274077,0.0015837565607333959
26,19,26,0.0069961205526629655,0.003814531332122839
27,20,27,0.005108545717398938,0.0024209997910723535
28,21,28,0.005572601799970323,0.0017454516795529784
29,22,29,0.004606243228232554,0.0021544753793643068
30,23,30,0.0024823732067530413,0.0013882918633961738
31,24,31,0.0035486873346114445,0.00157686559638337
32,25,32,0.004743593068492036,0.0012991210423329846
33,26,33,0.006002914556056171,0.001318763951094204
34,27,34,0.0034503805944481325,0.0015187432509079501
35,28,35,0.005913400517911338,0.0014408354150367009
36,29,36,0.006552664843522127,0.001608469444073446
37,30,37,0.008815616202614507,0.0016505303613296718
38,31,38,0.008742306205060224,0.0014449247901123785
39,32,39,0.007265469105710021,0.001628718253981143
40,33,40,0.008669107450668845,0.0026550029862171254
41,34,41,0.005771164430491416,0.001800493210348586
42,35,42,0.009904358755726594,0.0031341639962096934
43,36,43,0.0062514618197736516,0.0026563329626038135
44,37,44,0.005107153604820169,0.0027074159860545066
45,38,45,0.0038387739420013833,0.0032247841260999444
46,39,46,0.004171001642985006,0.0033589336185155805
47,40,47,0.006730453745869336,0.005095315853909099
48,41,48,0.006836765458286376,0.004230642252245342
49,42,49,0.008393987957429072,0.0051616020456618505
50,43,50,0.007383455513153558,0.007426341399254577
51,44,51,0.007733182541884154,0.005070760795781615
52,45,52,0.0092627100623901,0.007061331484476963
53,46,53,0.010338269357407559,0.00848735970124792
54,47,54,0.015132124957604742,0.015268481699289738
55,48,55,0.016863964221761174,0.013836536196479066
56,49,56,0.0125175582650352,0.011221503176844339
57,50,57,0.010651906006495127,0.008959328389519627
58,51,58,0.013522828971535783,0.006688337312644177
59,52,59,0.01823196352755163,0.00852083059322073
60,53,60,0.025247315339669396,0.009295682448807407
61,54,61,0.02251432193834424,0.008723066618071984
62,55,62,0.016941891354886662,0.005967212749594442
63,56,63,0.012461010828442198,0.006878668667578802
64,57,64,0.009288235109006449,0.006380094422559823
