alpha,mean_gold_gain,mean_kl,mean_tv,positive_wrapper_rate,all_wrappers_positive_query_rate,mean_gold_gain_wrapper_variance,mean_pairwise_wrapper_tv,gold_gain_retained,tv_retained,kl_retained,pairwise_wrapper_tv_retained
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0078125,0.07041543518915237,0.0006957921887186159,0.007059485141028759,1.0,1.0,2.021051386245546e-06,0.00026728294114217784,0.033283943846341195,0.02274311711266926,0.0003404496502467436,0.25534994297424096
0.015625,0.1394251202850185,0.0028401547189831756,0.014291521634541988,1.0,1.0,7.801608907917989e-06,0.0005440715984120058,0.065903418218891,0.04604213250107764,0.0013896817130200564,0.5197812140001425
0.03125,0.2730572509737592,0.01180783041734285,0.029253384385120977,1.0,1.0,2.8953826740170466e-05,0.001120881396361693,0.12906860809470627,0.09424386250861666,0.005777546515951106,1.0708390120924192
0.0625,0.5217158984114744,0.050133192135898626,0.060793137897070276,1.0,1.0,9.829731931812528e-05,0.002311397782247226,0.24660449260627498,0.19585358240986891,0.02453006516191554,2.208204120193584
0.125,0.9412130646814956,0.2046245285658156,0.12431325223931827,1.0,1.0,0.0002703200298709997,0.004416482974162379,0.4448922698290393,0.40049250021136806,0.10012235019543968,4.2193065924068
0.1875,1.26185766750052,0.435130140515268,0.1799206949137575,1.0,1.0,0.0003947404476256199,0.005556474791926406,0.5964544511347777,0.5796396413719364,0.21290825989733608,5.308402830323085
0.25,1.4992920664883163,0.6870212508216246,0.22103812523367025,1.0,1.0,0.00047080724654181345,0.005652285690515356,0.7086848617240318,0.7121051844613179,0.3361580488350264,5.399936197123269
0.375,1.8016032262313795,1.146847822112307,0.27199505013835484,1.0,1.0,0.0003931758626579611,0.005671184974524015,0.851581197420619,0.876270033264987,0.561150220216504,5.417991711901887
0.5,1.9639171475946446,1.5030568081220022,0.2959538315600912,1.0,1.0,0.00028189744319997984,0.004419705304231922,0.9283036863127507,0.9534565930304472,0.7354425256893251,4.222385059726808
0.625,2.045037836610815,1.776935387575868,0.30562522552542787,1.0,1.0,0.00014557656634879172,0.0037176964998262463,0.9666477858803788,0.9846143391269792,0.8694507369008646,3.5517178356743377
0.75,2.0836516959606937,1.919681541634692,0.30751491689920807,1.0,1.0,7.377963129769346e-05,0.002575967731868449,0.984899771724668,0.9907022437492164,0.9392961289753189,2.4609621946886575
0.875,2.104093194645619,1.9999201576702414,0.3088890365443144,1.0,1.0,4.733276461794609e-05,0.0016448986089318413,0.9945620523388042,0.9951291620571595,0.9785567145474183,1.571461179655783
1.0,2.115597704233386,2.043744759950069,0.31040094926549044,1.0,1.0,4.380737172541381e-05,0.0010467319398193115,1.0,1.0,1.0,1.0
