loop,method,gain_mean,deviation_mean,step_kl_mean
0,raw,0.0,0.0,0.0
0,projected,0.0,0.0,0.0
1,raw,1.4710553999488087,0.7165827134417835,0.7165827134417835
1,projected,0.04657190774931347,0.0001430205205230369,0.0001430205205230369
2,raw,1.842156153826644,1.2989409070448812,0.13829422284317144
2,projected,0.09029614488071251,0.0005242196179361038,0.00012724592391540063
3,raw,1.9535306238134207,1.718140813284231,0.054117496295363963
3,projected,0.1313041234343117,0.001146215356753944,0.0001310182529053701
4,raw,1.980150341967734,1.8807155951582875,0.01127836927266918
4,projected,0.17033114031113805,0.002004901200607129,0.00013887270507733488
5,raw,1.9885642092039408,1.9298027340711523,0.0023195436051911926
5,projected,0.2076423406422317,0.003042013234668698,0.0001269790887229085
6,raw,1.9923240138608915,1.9496058408304375,0.0006768058241337375
6,projected,0.24290194634986198,0.004264506939934631,0.00012739675713222735
7,raw,1.9943547177703236,1.959666843027806,0.0002495337285459216
7,projected,0.2760890878061577,0.005609567298365349,0.00010068087152744767
8,raw,1.995576313054452,1.9654688806662004,0.00010512133351785904
8,projected,0.30618713594567576,0.007100251180111058,9.469630226779797e-05
