training_step,query_id,common_sequence_source,common_response_tokens,privilege_sd_student_token_nll,trsd_student_token_nll,privilege_sd_nll_8step_mean,trsd_nll_8step_mean
1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,privilege_sd_ordinary_on_policy_pre_update,4096,0.19340990763157606,0.19349491968750954,,
2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,privilege_sd_ordinary_on_policy_pre_update,4096,0.09505459293723106,0.09453164041042328,,
3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,privilege_sd_ordinary_on_policy_pre_update,4096,0.1400402570143342,0.13948471751064062,,
4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,privilege_sd_ordinary_on_policy_pre_update,4096,0.21109999483451247,0.21062143379822373,,
5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,privilege_sd_ordinary_on_policy_pre_update,4096,0.1315949158743024,0.13142317719757557,,
6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,privilege_sd_ordinary_on_policy_pre_update,4096,0.24552086554467678,0.24514130968600512,,
7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,privilege_sd_ordinary_on_policy_pre_update,4096,0.2139062681235373,0.2140143788419664,,
8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,privilege_sd_ordinary_on_policy_pre_update,4096,0.19470671890303493,0.19307564944028854,0.17816669010790065,0.1777234033215791
9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,privilege_sd_ordinary_on_policy_pre_update,4093,0.24338744224326522,0.24237606795120145,0.18441388193436178,0.1838335468545406
10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,privilege_sd_ordinary_on_policy_pre_update,4096,0.2322557345032692,0.22928408812731504,0.20156402463011655,0.20067760281915206
11,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,privilege_sd_ordinary_on_policy_pre_update,4096,0.1661003939807415,0.1649420317262411,0.20482154175091746,0.20385976709610212
12,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,privilege_sd_ordinary_on_policy_pre_update,4096,0.19481306849047542,0.19149877969175577,0.20278567595791283,0.20146943533279363
13,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,privilege_sd_ordinary_on_policy_pre_update,3578,0.1818474737074603,0.17851526847826563,0.2090672456870576,0.20735594674287988
14,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,privilege_sd_ordinary_on_policy_pre_update,4096,0.22964676236733794,0.22664019372314215,0.20708298278989024,0.205043307247522
15,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,privilege_sd_ordinary_on_policy_pre_update,4096,0.2096041450276971,0.20565001061186194,0.2065452174029102,0.20399776121875896
16,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,privilege_sd_ordinary_on_policy_pre_update,4096,0.1917895539663732,0.1848508850671351,0.2061805717858275,0.20296966567211477
17,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,privilege_sd_ordinary_on_policy_pre_update,4096,0.12047837255522609,0.11765843909233809,0.19081693807482258,0.18737996206475685
18,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,privilege_sd_ordinary_on_policy_pre_update,4096,0.15184904960915446,0.1478469972498715,0.18076610246305824,0.1772003257050764
19,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,privilege_sd_ordinary_on_policy_pre_update,2969,0.1656894394748337,0.16179704650077165,0.18071473314981976,0.17680720255189272
20,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,privilege_sd_ordinary_on_policy_pre_update,4096,0.1595334499143064,0.15348027227446437,0.17630478082779863,0.1720548891247313
21,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,privilege_sd_ordinary_on_policy_pre_update,4096,0.142968128900975,0.13766395533457398,0.17144486272698797,0.16694847498176985
22,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,privilege_sd_ordinary_on_policy_pre_update,4096,0.12691705906763673,0.12228832859545946,0.15860364981452535,0.1539044918408095
23,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,privilege_sd_ordinary_on_policy_pre_update,3607,0.09504505164873775,0.09228116282142362,0.14428376314215544,0.13973338586700473
24,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,privilege_sd_ordinary_on_policy_pre_update,4096,0.08516603102907538,0.08125071506947279,0.13095582277499318,0.12678336461729695
25,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,privilege_sd_ordinary_on_policy_pre_update,4096,0.10801605647429824,0.10246295668184757,0.1293980332648772,0.12488392931598562
26,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,privilege_sd_ordinary_on_policy_pre_update,4096,0.12551506469026208,0.12032871972769499,0.12610628515001565,0.12144414462571355
27,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,privilege_sd_ordinary_on_policy_pre_update,4096,0.09229616168886423,0.08954462595283985,0.11693212542676948,0.11241259205722208
28,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,privilege_sd_ordinary_on_policy_pre_update,4096,0.09617181587964296,0.09295599348843098,0.10901192117243655,0.1048470572089679
29,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,privilege_sd_ordinary_on_policy_pre_update,4096,0.128927790094167,0.12391970260068774,0.10725687882158555,0.10312902561723213
30,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,privilege_sd_ordinary_on_policy_pre_update,4096,0.11851948359981179,0.11318883579224348,0.10620718188810743,0.10199158901683013
31,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,privilege_sd_ordinary_on_policy_pre_update,4096,0.11701950430870056,0.11175570636987686,0.10895398847060278,0.10442590696038678
32,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,privilege_sd_ordinary_on_policy_pre_update,1534,0.16644667957410353,0.16145185448200172,0.1191140695387313,0.1144510493869529
33,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,privilege_sd_ordinary_on_policy_pre_update,4096,0.11680986965075135,0.11281681805849075,0.12021329618578794,0.1157452820590333
34,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,privilege_sd_ordinary_on_policy_pre_update,4096,0.09160533174872398,0.08734527323395014,0.11597457956809568,0.11162235124731519
35,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,privilege_sd_ordinary_on_policy_pre_update,4096,0.09340168396010995,0.08874171786010265,0.11611276985200139,0.11152198773572304
36,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,privilege_sd_ordinary_on_policy_pre_update,4096,0.09909982280805707,0.09376408811658621,0.11647877071805315,0.11162299956424244
37,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,privilege_sd_ordinary_on_policy_pre_update,4096,0.09966720268130302,0.0931416074745357,0.11282119729144516,0.10777573767347344
38,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,privilege_sd_ordinary_on_policy_pre_update,4096,0.11175095709040761,0.10377358086407185,0.11197513147776963,0.10659883080745199
39,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,privilege_sd_ordinary_on_policy_pre_update,4096,0.10526628606021404,0.09928341209888458,0.11050597919670882,0.10503979402357795
40,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,privilege_sd_ordinary_on_policy_pre_update,4096,0.12669944670051336,0.11884089931845665,0.10553757508751005,0.09971342462813482
41,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,privilege_sd_ordinary_on_policy_pre_update,4096,0.11406381195411086,0.10807987162843347,0.10519431787542999,0.09912130632437766
42,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,privilege_sd_ordinary_on_policy_pre_update,4096,0.14651528000831604,0.1374255926348269,0.112058061407879,0.10538134624948725
43,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,privilege_sd_ordinary_on_policy_pre_update,4096,0.11024263454601169,0.10172533569857478,0.11416318023111671,0.10700429847929627
44,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,privilege_sd_ordinary_on_policy_pre_update,3240,0.09679095362439567,0.09326474578292282,0.11387457158315904,0.10694188068758834
45,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,privilege_sd_ordinary_on_policy_pre_update,4096,0.14984283782541752,0.1438185847364366,0.12014652597617335,0.11327650284532595
46,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,privilege_sd_ordinary_on_policy_pre_update,4096,0.19481681752949953,0.17714919475838542,0.13052975853105986,0.12244845458211515
47,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,privilege_sd_ordinary_on_policy_pre_update,2864,0.2045398051512308,0.18902188572803688,0.14293894841743693,0.13366576378575917
48,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,privilege_sd_ordinary_on_policy_pre_update,4096,0.08059231843799353,0.0726859075948596,0.13717555738462195,0.12789638982030954
49,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,privilege_sd_ordinary_on_policy_pre_update,4096,0.13727855496108532,0.12587405927479267,0.14007740026049376,0.13012066327610444
50,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,privilege_sd_ordinary_on_policy_pre_update,4096,0.20191041799262166,0.18368492554873228,0.14700179250853196,0.13590307989034262
51,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,privilege_sd_ordinary_on_policy_pre_update,4096,0.13508382299914956,0.1233927896246314,0.1501069410651742,0.1386115116310997
52,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,privilege_sd_ordinary_on_policy_pre_update,4096,0.12693547690287232,0.1151277543976903,0.15387500647498378,0.14134438770794566
53,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,privilege_sd_ordinary_on_policy_pre_update,1796,0.13397728892370958,0.13059205414192182,0.1518918128622703,0.1396910713836313
54,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,privilege_sd_ordinary_on_policy_pre_update,4096,0.19729389948770404,0.18076619412750006,0.15220144810704586,0.14014319630477062
55,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,privilege_sd_ordinary_on_policy_pre_update,4096,0.12077650520950556,0.11418411741033196,0.1417310356143302,0.13078847526505752
56,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,privilege_sd_ordinary_on_policy_pre_update,3059,0.1000590771777679,0.09202977854194654,0.144164380456802,0.1332064591334434
57,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,privilege_sd_ordinary_on_policy_pre_update,2618,0.21006086639450924,0.20114119276916645,0.15326216938597997,0.1426148508202401
58,deepmath:007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547,privilege_sd_ordinary_on_policy_pre_update,4096,0.1752754021435976,0.163340182043612,0.14993279240485197,0.14007175788210008
59,deepmath:007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6,privilege_sd_ordinary_on_policy_pre_update,3638,0.18813891984919653,0.16772783110599193,0.15656467951110783,0.14561363806727012
60,deepmath:007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d,privilege_sd_ordinary_on_policy_pre_update,4096,0.22579268598929048,0.2084812275134027,0.16892183064691013,0.15728282220673417
61,deepmath:0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c,privilege_sd_ordinary_on_policy_pre_update,3053,0.2414807676683283,0.22393577980518808,0.18235976548998747,0.16895078791464246
62,deepmath:0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f,privilege_sd_ordinary_on_policy_pre_update,4096,0.2081158636137843,0.1888568843714893,0.1837125110057475,0.16996212419514112
63,deepmath:0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471,privilege_sd_ordinary_on_policy_pre_update,2832,0.12908224534180204,0.12242228095814334,0.18475072852228455,0.17099189463861753
64,deepmath:008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b,privilege_sd_ordinary_on_policy_pre_update,2690,0.08975753287843612,0.0852899111779649,0.1834630354848681,0.1701494112181198
