mode,training_condition,training_seed,decoding_seed,method,episode,correct,total,strict_accuracy_pct,scored_sha256
thinking,thinking_seed0,0,20260820,OPSD,0,85,143,59.44055944055944,3d2c7a8a7da603965e0b832c3b2e0d8d374650ab734ef0a33cf9a5f9399e5f46
thinking,thinking_seed0,0,20260820,OPSD,16,86,143,60.13986013986014,cc134d8e4cb96e266d651170285f2955c99133d4b0cf1a0bd353b5cd629cc5ae
thinking,thinking_seed0,0,20260820,OPSD,32,87,143,60.83916083916084,61241006227ed4ef16e26f4ea101cc10bef6ecb004c8b0f760ea24955c0033d5
thinking,thinking_seed0,0,20260820,OPSD,48,86,143,60.13986013986014,651ac7b391a8838f3afc408fa5fc281dd34de2cddd97b797c0175591d6f31a16
thinking,thinking_seed0,0,20260820,OPSD,64,95,143,66.43356643356644,fb738323a637ca923e6a3283bc7d7fca931d14b8685de053e7334736605b710d
thinking,thinking_seed0,0,20260820,LGSD,0,84,143,58.74125874125874,41469fda0e58bfb4e4c42a55da3a87326e3bd3e5dd2b8533f5fc8ec60bf4e5d1
thinking,thinking_seed0,0,20260820,LGSD,16,86,143,60.13986013986014,8608317ad5526c81c80cd0671ec3aca0f3e81edca6f205123b44f95fa2fa537f
thinking,thinking_seed0,0,20260820,LGSD,32,89,143,62.23776223776224,2f9231a1e0343d470616913d1a7978e9dae9878198e6221ffdf8c8149c417727
thinking,thinking_seed0,0,20260820,LGSD,48,95,143,66.43356643356644,2d2bb1a87476337266ad4aebcf988f022570b23a60ed66bec916b9fe62337ab0
thinking,thinking_seed0,0,20260820,LGSD,64,97,143,67.83216783216783,fd09c085ebbc5835044e7465ef75d95f9741d6f8facbdf66ae364649f6668ab0
thinking,thinking_seed1,1479179816,20260820,OPSD,0,85,143,59.44055944055944,375ace6a7c0f1a15bfb8532518e65c19c85bfdb618bd6dc203c7fd241ef479fe
thinking,thinking_seed1,1479179816,20260820,OPSD,16,83,143,58.04195804195804,54f42a87879d90a83178b36aa01d4dab6c6b6e77f47003c64d7f7505c96ccc0b
thinking,thinking_seed1,1479179816,20260820,OPSD,32,84,143,58.74125874125874,d768cb936bc2c6fbe7d1379adf98354c154351cdbac4e17e3209d5f5521b5b06
thinking,thinking_seed1,1479179816,20260820,OPSD,48,90,143,62.93706293706294,1da4138733eece1f0519d532570881f33b6cb125bd4617c23141cc1cbbcfd7ba
thinking,thinking_seed1,1479179816,20260820,OPSD,64,91,143,63.63636363636363,e996f5cd11189f691bcd6b73420e643b63dc95d43c66849ed8ab6e3bac0a47f4
thinking,thinking_seed1,1479179816,20260820,LGSD,0,84,143,58.74125874125874,87e19ec8a6813eaf82869e9504e7adcbbcc16da58257e7dd16dd4ac745559f0f
thinking,thinking_seed1,1479179816,20260820,LGSD,16,83,143,58.04195804195804,c8345721f13cbc2defaeb66a679c937c18e774bf2e7d32f6fe8968e8a772ef62
thinking,thinking_seed1,1479179816,20260820,LGSD,32,92,143,64.33566433566433,4a09de5b172683eddc2ed4287b297125d39cdd2ba0f473d011cdfadd37044553
thinking,thinking_seed1,1479179816,20260820,LGSD,48,93,143,65.03496503496504,1ba97778b169f3e01e5a58101f0dde1f08ffa33decaeb960ee32703ad44995c5
thinking,thinking_seed1,1479179816,20260820,LGSD,64,92,143,64.33566433566433,4ebe3f03ad017e39d49a63c0559b5774645a20f54df9ec93fb5c9c21bbd47876
thinking,thinking_seed2,1266198024,20260820,OPSD,0,86,143,60.13986013986014,3a191ae9463be0bc4d38dad381bdae9ce7621522a982d638b374acc42e52f982
thinking,thinking_seed2,1266198024,20260820,OPSD,16,86,143,60.13986013986014,cdfd897c7d2b0e1c21f1c9bc0c46fea08debeeff8e612ae1ad4c1ecc3774bf4e
thinking,thinking_seed2,1266198024,20260820,OPSD,32,80,143,55.94405594405595,160c83e771c09289b0b3adc552776ff0da039667142cda178974c1795c513baf
thinking,thinking_seed2,1266198024,20260820,OPSD,48,89,143,62.23776223776224,0531c42907b75d5ce1beaf8b78f478feb858ea2dd3a0d59a0ef95d7b8454087e
thinking,thinking_seed2,1266198024,20260820,OPSD,64,91,143,63.63636363636363,160ba7da7c259aa2343a6c1da3d0e40fc1afe67eb402d6468d722d4bf5a16533
thinking,thinking_seed2,1266198024,20260820,LGSD,0,85,143,59.44055944055944,8b9d5794732b63c9d192455b344c4ee3082e868f6de71bc43229d25b70ea5bf8
thinking,thinking_seed2,1266198024,20260820,LGSD,16,81,143,56.64335664335665,80647d561cc079ce3bb18843dd0ca1ed57a6aa8fc900d57dc040b583db8ec7c7
thinking,thinking_seed2,1266198024,20260820,LGSD,32,84,143,58.74125874125874,e1ef46a2edb5f1e26eaa24b96adbfdb50d582f3fbd0c43e3d147ce63744c2b34
