model,method,episodes,amc23_correct,amc23_total,amc23_strict_acc1_percent,aime24_correct,aime24_total,aime24_strict_acc1_percent,aime25_correct,aime25_total,aime25_strict_acc1_percent,combined_correct,combined_total,combined_strict_acc1_percent,cap_hits,target_kl,style_drift
Qwen3-8B,Base,0,54,83,65.06024096385542,15,30,50.0,8,30,26.666666666666668,77,143,53.84615384615385,65,,
Qwen3-8B,Privilege-SD,16,59,83,71.08433734939759,14,30,46.666666666666664,8,30,26.666666666666668,81,143,56.64335664335665,60,0.014687999907855506,0.11593484112816135
Qwen3-8B,TRSD,16,55,83,66.26506024096386,14,30,46.666666666666664,8,30,26.666666666666668,77,143,53.84615384615385,65,0.003918239257433305,0.06795297397380153
Qwen3-8B,Privilege-SD,32,59,83,71.08433734939759,15,30,50.0,9,30,30.0,83,143,58.04195804195804,59,0.01514278134855107,0.11902041332799991
Qwen3-8B,TRSD,32,55,83,66.26506024096386,12,30,40.0,10,30,33.333333333333336,77,143,53.84615384615385,63,0.003908607979984931,0.07325103136799385
Qwen3-8B,Privilege-SD,48,61,83,73.49397590361446,15,30,50.0,13,30,43.333333333333336,89,143,62.23776223776224,51,0.014686899223130767,0.12451550730428036
Qwen3-8B,TRSD,48,59,83,71.08433734939759,15,30,50.0,11,30,36.666666666666664,85,143,59.44055944055944,54,0.0038984743529050427,0.07537440202928503
Qwen3-8B,Privilege-SD,64,64,83,77.10843373493977,17,30,56.666666666666664,9,30,30.0,90,143,62.93706293706294,43,0.01472796607735253,0.1269643682263273
Qwen3-8B,TRSD,64,70,83,84.33734939759036,19,30,63.333333333333336,13,30,43.333333333333336,102,143,71.32867132867133,25,0.0038824013035415705,0.07633552349567098
Qwen3-1.7B,Base,0,47,83,56.626506024096386,10,30,33.333333333333336,7,30,23.333333333333332,64,143,44.75524475524475,71,,
Qwen3-1.7B,Privilege-SD,16,55,83,66.26506024096386,9,30,30.0,7,30,23.333333333333332,71,143,49.65034965034965,65,0.014868146213593716,0.1296772441458195
Qwen3-1.7B,Privilege-SD,64,20,83,24.096385542168676,2,30,6.666666666666667,1,30,3.3333333333333335,23,143,16.083916083916083,10,0.02057540428984317,0.12905848691335692
Qwen3-1.7B,TRSD,16,56,83,67.46987951807229,7,30,23.333333333333332,10,30,33.333333333333336,73,143,51.04895104895105,63,0.003885778033544247,0.06853804580663984
Qwen3-1.7B,TRSD,64,19,83,22.89156626506024,0,30,0.0,0,30,0.0,19,143,13.286713286713287,8,0.0038372234709172577,0.07112614071246275
GPT-OSS-20B,Base,0,68,83,81.92771084337349,21,30,70.0,14,30,46.666666666666664,103,143,72.02797202797203,37,,
GPT-OSS-20B,Privilege-SD,16,71,83,85.5421686746988,17,30,56.666666666666664,18,30,60.0,106,143,74.12587412587412,17,0.003872605010789334,0.061035605452945584
GPT-OSS-20B,Privilege-SD,64,31,83,37.34939759036145,2,30,6.666666666666667,2,30,6.666666666666667,35,143,24.475524475524477,0,0.01102220455527669,0.062069231133366695
GPT-OSS-20B,TRSD,16,66,83,79.51807228915662,23,30,76.66666666666667,20,30,66.66666666666667,109,143,76.22377622377623,22,0.002993180184027179,0.05091581485368229
GPT-OSS-20B,TRSD,64,63,83,75.90361445783132,16,30,53.333333333333336,10,30,33.333333333333336,89,143,62.23776223776224,2,0.00335165332810523,0.05448471998620664
Qwen3-8B,SRPO,16,54,83,65.06024096385542,13,30,43.333333333333336,7,30,23.333333333333332,74,143,51.74825174825175,69,,
Qwen3-8B,SRPO,64,57,83,68.67469879518072,11,30,36.666666666666664,7,30,23.333333333333332,75,143,52.44755244755245,67,,
Qwen3-1.7B,SRPO,16,46,83,55.42168674698795,9,30,30.0,8,30,26.666666666666668,63,143,44.05594405594405,70,,
Qwen3-1.7B,SRPO,64,46,83,55.42168674698795,10,30,33.333333333333336,8,30,26.666666666666668,64,143,44.75524475524475,71,,
GPT-OSS-20B,SRPO,16,72,83,86.74698795180723,14,30,46.666666666666664,18,30,60.0,104,143,72.72727272727273,33,,
GPT-OSS-20B,SRPO,64,70,83,84.33734939759036,19,30,63.333333333333336,18,30,60.0,107,143,74.82517482517483,34,,
