model,method,episode_start,episode_end,mean_target_kl
GPT-OSS-20B,OPSD,1,16,0.003872605011
GPT-OSS-20B,OPSD,17,32,0.008659003764
GPT-OSS-20B,OPSD,33,48,0.010075603007
GPT-OSS-20B,OPSD,49,64,0.021481606439
GPT-OSS-20B,LGSD,1,16,0.003060131572
GPT-OSS-20B,LGSD,17,32,0.003393969837
GPT-OSS-20B,LGSD,33,48,0.003520317082
GPT-OSS-20B,LGSD,49,64,0.004069907863
Qwen3-8B,OPSD,1,16,0.014687999908
Qwen3-8B,OPSD,17,32,0.015597562789
Qwen3-8B,OPSD,33,48,0.013775134972
Qwen3-8B,OPSD,49,64,0.014851166640
Qwen3-8B,LGSD,1,16,0.004944786517
Qwen3-8B,LGSD,17,32,0.004450479680
Qwen3-8B,LGSD,33,48,0.004285053892
Qwen3-8B,LGSD,49,64,0.004098035147
