method,dataset,correct,n,acc1,acc1_percent,truncated,truncation_rate,mean_generated_tokens,mean_generation_seconds,peak_gpu_allocated_gib
base,combined,77,143,0.5384615384615384,53.84615384615385,73,0.5104895104895105,8266.720279720279,130.90206659751883,16.77751874923706
base,amc23,56,83,0.6746987951807228,67.46987951807229,31,0.37349397590361444,7495.481927710844,119.84153359674944,16.772578716278076
base,aime24,12,30,0.4,40.0,19,0.6333333333333333,9263.033333333333,145.108940093293,16.77751874923706
base,aime25,9,30,0.3,30.0,23,0.7666666666666667,9404.166666666666,147.29600107053994,16.758005619049072
privileged_sd,combined,94,143,0.6573426573426573,65.73426573426573,48,0.3356643356643357,7069.335664335665,204.5267540108188,16.858787536621094
privileged_sd,amc23,63,83,0.7590361445783133,75.90361445783132,19,0.2289156626506024,6081.674698795181,175.8659583641867,16.853877544403076
privileged_sd,aime24,17,30,0.5666666666666667,56.666666666666664,12,0.4,8179.566666666667,236.8450748516596,16.858787536621094
privileged_sd,aime25,14,30,0.4666666666666667,46.666666666666664,17,0.5666666666666667,8691.633333333333,251.50330112566007,16.83929681777954
trsd,combined,78,143,0.5454545454545454,54.54545454545455,66,0.46153846153846156,7934.944055944056,321.86610871463546,16.85880136489868
trsd,amc23,54,83,0.6506024096385542,65.06024096385542,31,0.37349397590361444,7148.590361445783,359.2656764651702,16.853877544403076
trsd,aime24,15,30,0.5,50.0,14,0.4666666666666667,8858.233333333334,260.65399199984967,16.85880136489868
trsd,aime25,9,30,0.3,30.0,21,0.7,9187.233333333334,279.6060879862751,16.839303016662598
