reference,reference_label,method,method_label,dataset,n,reference_correct,reference_acc1,reference_acc1_ci_low,reference_acc1_ci_high,method_correct,method_acc1,method_acc1_ci_low,method_acc1_ci_high,delta_acc1,delta_percentage_points,delta_ci_low,delta_ci_high,wrong_to_correct,correct_to_wrong,discordant_pairs,mcnemar_exact_two_sided_p,bootstrap_unit,bootstrap_replicates,bootstrap_seed,estimand
base,Base,privileged_16,Privilege-SD 16,combined,143,77,0.5384615384615384,0.45454545454545453,0.6153846153846154,81,0.5664335664335665,0.4825174825174825,0.6433566433566433,0.027972027972028024,2.7972027972028024,-0.020979020979021046,0.07692307692307698,9,5,14,0.4239501953125,paired_query,10000,20260808,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_64,Privilege-SD 64,combined,143,77,0.5384615384615384,0.45454545454545453,0.6223776223776224,90,0.6293706293706294,0.5524475524475524,0.7062937062937062,0.09090909090909094,9.090909090909093,0.027972027972028024,0.15384615384615385,18,5,23,0.010622024536132812,paired_query,10000,20260809,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,trsd_64,TRSD 64,combined,143,77,0.5384615384615384,0.45454545454545453,0.6223776223776224,102,0.7132867132867133,0.6363636363636364,0.7832167832167832,0.1748251748251749,17.48251748251749,0.11188811188811187,0.24475524475524474,27,2,29,1.6242265701293945e-06,paired_query,10000,20260810,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_16,Privilege-SD 16,amc23,83,54,0.6506024096385542,0.5421686746987951,0.7469879518072289,59,0.7108433734939759,0.6144578313253012,0.8072289156626506,0.06024096385542166,6.024096385542165,-0.012048192771084265,0.1325301204819277,7,2,9,0.1796875,paired_query,10000,20260908,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_64,Privilege-SD 64,amc23,83,54,0.6506024096385542,0.5421686746987951,0.7469879518072289,64,0.7710843373493976,0.6746987951807228,0.8554216867469879,0.12048192771084343,12.048192771084343,0.04819277108433728,0.20481927710843373,11,1,12,0.00634765625,paired_query,10000,20260909,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,trsd_64,TRSD 64,amc23,83,54,0.6506024096385542,0.5421686746987951,0.7590361445783133,70,0.8433734939759037,0.7590361445783133,0.9156626506024096,0.19277108433734946,19.277108433734945,0.10843373493975894,0.28915662650602403,17,1,18,0.00014495849609375,paired_query,10000,20260910,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_16,Privilege-SD 16,aime24,30,15,0.5,0.3333333333333333,0.6666666666666666,14,0.4666666666666667,0.3,0.6333333333333333,-0.033333333333333326,-3.3333333333333326,-0.16666666666666669,0.10000000000000003,2,3,5,1.0,paired_query,10000,20261008,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_64,Privilege-SD 64,aime24,30,15,0.5,0.3333333333333333,0.6666666666666666,17,0.5666666666666667,0.4,0.7333333333333333,0.06666666666666665,6.666666666666665,-0.09999999999999998,0.23333333333333328,4,2,6,0.6875,paired_query,10000,20261009,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,trsd_64,TRSD 64,aime24,30,15,0.5,0.3333333333333333,0.6666666666666666,19,0.6333333333333333,0.4666666666666667,0.8,0.1333333333333333,13.33333333333333,0.0,0.29999999999999993,5,1,6,0.21875,paired_query,10000,20261010,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_16,Privilege-SD 16,aime25,30,8,0.26666666666666666,0.1,0.43333333333333335,8,0.26666666666666666,0.1,0.43333333333333335,0.0,0.0,0.0,0.0,0,0,0,1.0,paired_query,10000,20261108,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,privileged_64,Privilege-SD 64,aime25,30,8,0.26666666666666666,0.1,0.43333333333333335,9,0.3,0.13333333333333333,0.4666666666666667,0.033333333333333326,3.3333333333333326,-0.10000000000000003,0.19999999999999998,3,2,5,1.0,paired_query,10000,20261109,strict_acc1_full_denominator_unfinished_is_wrong
base,Base,trsd_64,TRSD 64,aime25,30,8,0.26666666666666666,0.13333333333333333,0.43333333333333335,13,0.43333333333333335,0.26666666666666666,0.6,0.16666666666666669,16.666666666666668,0.03333333333333338,0.30000000000000004,5,0,5,0.0625,paired_query,10000,20261110,strict_acc1_full_denominator_unfinished_is_wrong
