query_id,source,method,anchor_positions,normalized_jsd,base_entropy_nats,method_entropy_nats,entropy_retention
amc23:3f1690da831c19579866169a921172ddf33989c23288d773b56fe6e4d3b90453,amc23,Privilege-SD 64,16,0.06329810619354248,0.05759439989924431,0.057789355516433716,1.0033849477767944
amc23:3f1690da831c19579866169a921172ddf33989c23288d773b56fe6e4d3b90453,amc23,TRSD 64,16,0.06690714508295059,0.05759439989924431,0.02482372708618641,0.4310093820095062
amc23:34f4eefeef254c3a884a85c1c95fcbf5a3470810327b2f6a0efa3f2bc1645f59,amc23,Privilege-SD 64,16,0.010600224137306213,0.07342903316020966,0.024231597781181335,0.33000022172927856
amc23:34f4eefeef254c3a884a85c1c95fcbf5a3470810327b2f6a0efa3f2bc1645f59,amc23,TRSD 64,16,0.010685103014111519,0.07342903316020966,0.008911673910915852,0.12136444449424744
amc23:d8be75e401c85ac9cbb59c23ce5db98a46bcdbc20a3859432d3e6c100c944874,amc23,Privilege-SD 64,16,0.032049551606178284,0.12044177949428558,0.12882661819458008,1.0696173906326294
amc23:d8be75e401c85ac9cbb59c23ce5db98a46bcdbc20a3859432d3e6c100c944874,amc23,TRSD 64,16,0.04069361090660095,0.12044177949428558,0.10210928320884705,0.8477895855903625
aime25:a3145c72cb6b4a78a74d3e97d669d29a5eeb277efb9f6492e9873d0d3fbfd0c4,aime25,Privilege-SD 64,16,0.06021764874458313,0.23279236257076263,0.32276949286460876,1.3865123987197876
aime25:a3145c72cb6b4a78a74d3e97d669d29a5eeb277efb9f6492e9873d0d3fbfd0c4,aime25,TRSD 64,16,0.0713871419429779,0.23279236257076263,0.23509624600410461,1.0098967552185059
amc23:a4b1b6d256739cb4069a3eb0f39780e2949541618d3b2f5dca0a98a103a4fe3f,amc23,Privilege-SD 64,16,0.07773846387863159,0.1295376420021057,0.09313888847827911,0.7190102338790894
amc23:a4b1b6d256739cb4069a3eb0f39780e2949541618d3b2f5dca0a98a103a4fe3f,amc23,TRSD 64,16,0.09067997336387634,0.1295376420021057,0.05105841904878616,0.3941589295864105
aime24:43afc8d2eb636c35477cc9ac8f1db3563134d10673beb9fb808c45dbc3021e51,aime24,Privilege-SD 64,16,0.02788834273815155,0.17458006739616394,0.16981612145900726,0.972711980342865
aime24:43afc8d2eb636c35477cc9ac8f1db3563134d10673beb9fb808c45dbc3021e51,aime24,TRSD 64,16,0.03473581373691559,0.17458006739616394,0.11546163260936737,0.6613677740097046
amc23:698343f47eddf760b7d123e1c71022dd959481f5a399b7808c07b85478b4d429,amc23,Privilege-SD 64,16,0.019123410806059837,0.18696928024291992,0.1407995969057083,0.7530627250671387
amc23:698343f47eddf760b7d123e1c71022dd959481f5a399b7808c07b85478b4d429,amc23,TRSD 64,16,0.020658090710639954,0.18696928024291992,0.10986883193254471,0.5876303911209106
amc23:3892f9b402cc1d4397e455e7089d89f26d79e7b23c70641bfd48aad6b2bcfad1,amc23,Privilege-SD 64,16,0.008913512341678143,0.09428618103265762,0.09027847647666931,0.9574942588806152
amc23:3892f9b402cc1d4397e455e7089d89f26d79e7b23c70641bfd48aad6b2bcfad1,amc23,TRSD 64,16,0.012412876822054386,0.09428618103265762,0.032340046018362045,0.34299880266189575
amc23:ad788c6148fcbff56c1020045accf4196e61cca7bb79b2ebba00ab5fcabcdace,amc23,Privilege-SD 64,16,0.02173626236617565,0.39450937509536743,0.3559085726737976,0.9021549224853516
amc23:ad788c6148fcbff56c1020045accf4196e61cca7bb79b2ebba00ab5fcabcdace,amc23,TRSD 64,16,0.044830236583948135,0.39450937509536743,0.25869837403297424,0.65574711561203
amc23:5716b1b1c4594746531529f5053ad11baa3547a5c1749f205cd888a38684a97e,amc23,Privilege-SD 64,16,0.07586096972227097,0.2253795713186264,0.30485251545906067,1.3526182174682617
amc23:5716b1b1c4594746531529f5053ad11baa3547a5c1749f205cd888a38684a97e,amc23,TRSD 64,16,0.08271856606006622,0.2253795713186264,0.23504100739955902,1.0428674221038818
