episode,query_id,transition,privileged_reward,trsd_reward,raw_target_kl,trsd_target_kl,raw_style_drift,trsd_style_drift,trsd_projection_alpha
1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,W→C,0,1,0.02182911115232855,0.0037767863240694127,0.2024008217504469,0.08263715647034726,0.390625
2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,W→C,0,1,0.006540843885886716,0.003947458429624584,0.0993572170451536,0.053924179077148436,0.734375
3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,W→W,0,0,0.005889393603865756,0.003943116115339686,0.05742068820529514,0.095890260511829,0.84375
4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,W→C,0,1,0.011448284407379106,0.003955586796114806,0.12227799171625181,0.07840977043941103,0.546875
5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,W→C,0,1,0.010261164970870595,0.003990807759989286,0.0942752644167108,0.0701314961468732,0.703125
6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,C→C,1,1,0.030317336746520596,0.003923295034852953,0.12742376863286736,0.04610783120860224,0.375
7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,W→W,0,0,0.014140837549348362,0.003983926278147286,0.09667609167880699,0.07556227633827611,0.546875
8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,W→W,0,0,0.020389556215377524,0.0039058947414588947,0.1664301050771581,0.06272287266228789,0.453125
9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,C→C,1,1,0.016263245926446797,0.0039243484435022855,0.09551116039878443,0.07248293968939012,0.453125
10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,W→W,0,0,0.015329110974562354,0.0038928611761106734,0.09336664411756727,0.060461241351671455,0.484375
11,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,C→C,1,1,0.010956093194181449,0.003981369454594545,0.08242409251560674,0.05659530066341334,0.5625
12,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,W→C,0,1,0.013840521642123349,0.003956325814671723,0.10726261138916016,0.06135785502772177,0.53125
13,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,C→C,1,1,0.017428048184092583,0.0037590855339209575,0.1066050736800484,0.04623163046957064,0.4375
14,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,W→W,0,0,0.011579891288420185,0.0038910183096643315,0.0893414505128938,0.07700030933726917,0.546875
15,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,W→C,0,1,0.015588858870614786,0.0039837004799719,0.17858427221124823,0.09214439648109794,0.5625
16,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,W→C,0,1,0.013205699913669378,0.0038762474268995584,0.08873794629023625,0.05735091745418354,0.59375
17,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,W→W,0,0,0.0054265706348815,0.003911417710300387,0.08147687045010653,0.0816055623496451,0.890625
