method,target_kind,episode,query_id,problem_sha256,entropy_proxy_nats_per_token,response_tokens,reward,target_kl,style_drift,style_error_sum,style_token_count,projection_alpha
TRSD (adaptive trajectory),projected,1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,0.18782390420052925,6036,1,0.0037767863240694127,0.08263715647034726,9.751184463500977,118,0.390625
TRSD (adaptive trajectory),projected,2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0.11475668880188587,8449,1,0.003947458429624584,0.053924179077148436,6.20128059387207,115,0.734375
TRSD (adaptive trajectory),projected,3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,0.15008806709634417,10088,0,0.003943116115339686,0.095890260511829,11.890392303466797,124,0.84375
TRSD (adaptive trajectory),projected,4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0.23380776324511024,9003,1,0.003955586796114806,0.07840977043941103,18.19106674194336,232,0.546875
TRSD (adaptive trajectory),projected,5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,0.13090745427075423,6852,1,0.003990807759989286,0.0701314961468732,7.574201583862305,108,0.703125
TRSD (adaptive trajectory),projected,6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,0.2200937524024673,6599,1,0.003923295034852953,0.04610783120860224,5.302400588989258,115,0.375
TRSD (adaptive trajectory),projected,7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0.21976097876105466,10038,0,0.003983926278147286,0.07556227633827611,11.485466003417969,152,0.546875
TRSD (adaptive trajectory),projected,8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,0.19533011981730358,10069,0,0.0039058947414588947,0.06272287266228789,11.666454315185547,186,0.453125
TRSD (adaptive trajectory),projected,9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,0.23521421290051958,5490,1,0.0039243484435022855,0.07248293968939012,4.4939422607421875,62,0.453125
TRSD (adaptive trajectory),projected,10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0.23197778849634318,10101,0,0.0038928611761106734,0.060461241351671455,14.631620407104492,242,0.484375
