method,training_step,query_id,problem_sha256,entropy_proxy_nats_per_token,response_tokens,reward,boxed_answer
Privilege-SD,1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,0.19340990763157606,4096,0,
Privilege-SD,2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0.09505459293723106,4096,0,
Privilege-SD,3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,0.1400402570143342,4096,0,
Privilege-SD,4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0.21109999483451247,4096,0,
Privilege-SD,5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,0.1315949158743024,4096,0,
Privilege-SD,6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,0.24552086554467678,4096,1,Yes
Privilege-SD,7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0.2139062681235373,4096,0,
Privilege-SD,8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,0.19470671890303493,4096,0,
Privilege-SD,9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,0.24338744224326522,4093,1,Yes
Privilege-SD,10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0.2322557345032692,4096,0,
Privilege-SD,11,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0.1661003939807415,4096,1,Yes
Privilege-SD,12,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,0.19481306849047542,4096,0,
Privilege-SD,13,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,0.1818474737074603,3578,1,Yes
Privilege-SD,14,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,0.22964676236733794,4096,0,
