method,training_step,optimizer_update,journal_episode,trajectory_microsteps,response_tokens,distill_token_chunk_size,teacher_student_reverse_kl,query_id
Privilege-SD,32,1,1,32,4096,128,0.02182911115232855,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9
Privilege-SD,64,2,2,32,4096,128,0.006540843885886716,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0
Privilege-SD,96,3,3,32,4096,128,0.005889393603865756,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e
Privilege-SD,128,4,4,32,4096,128,0.011448284407379106,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38
Privilege-SD,160,5,5,32,4096,128,0.010261164970870595,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0
Privilege-SD,192,6,6,32,4096,128,0.030317336746520596,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad
Privilege-SD,224,7,7,32,4096,128,0.014140837549348362,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c
Privilege-SD,256,8,8,32,4096,128,0.020389556215377524,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2
Privilege-SD,288,9,9,32,4093,128,0.016263245926446797,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641
Privilege-SD,320,10,10,32,4096,128,0.015329110974562354,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e
Privilege-SD,352,11,11,32,4096,128,0.010956093194181449,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08
Privilege-SD,384,12,12,32,4096,128,0.013840521642123349,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f
Privilege-SD,412,13,13,28,3578,128,0.017428048184092583,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437
Privilege-SD,444,14,14,32,4096,128,0.011579891288420185,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2
Privilege-SD,476,15,15,32,4096,128,0.015588858870614786,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051
Privilege-SD,508,16,16,32,4096,128,0.013205699913669378,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e
Privilege-SD,540,17,17,32,4096,128,0.0054265706348815,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7
Privilege-SD,572,18,18,32,4096,128,0.0159893930904218,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33
Privilege-SD,596,19,19,24,2969,128,0.0344271956268245,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a
Privilege-SD,628,20,20,32,4096,128,0.010824788572790567,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc
Privilege-SD,660,21,21,32,4096,128,0.010875587759073824,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd
Privilege-SD,692,22,22,32,4096,128,0.011577029090517499,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3
Privilege-SD,721,23,23,29,3607,128,0.014734650891631043,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4
Privilege-SD,753,24,24,32,4096,128,0.006428292475902708,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9
Privilege-SD,785,25,25,32,4096,128,0.01586126933398191,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a
Privilege-SD,817,26,26,32,4096,128,0.016762709215981886,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac
Privilege-SD,849,27,27,32,4096,128,0.008514823603036348,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe
Privilege-SD,881,28,28,32,4096,128,0.005771825273768627,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d
Privilege-SD,913,29,29,32,4096,128,0.015490713303734083,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f
Privilege-SD,945,30,30,32,4096,128,0.012158499674114864,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede
Privilege-SD,977,31,31,32,4096,128,0.011096451664343476,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1
Privilege-SD,989,32,32,12,1534,128,0.05362120441694148,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00
Privilege-SD,1021,33,33,32,4096,128,0.018642094230017392,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773
Privilege-SD,1053,34,34,32,4096,128,0.007216088408313226,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96
Privilege-SD,1085,35,35,32,4096,128,0.01355491709546186,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc
Privilege-SD,1117,36,36,32,4096,128,0.013239993262686767,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55
