alpha,student_useful_probability,teacher_useful_probability,target_useful_probability,data_type
0.0,0.7,0.4,0.7,synthetic illustration
0.01,0.7,0.4,0.6973626242455211,synthetic illustration
0.02,0.7,0.4,0.6947121745884142,synthetic illustration
0.03,0.7,0.4,0.6920487630948745,synthetic illustration
0.04,0.7,0.4,0.6893725049739338,synthetic illustration
0.05,0.7,0.4,0.6866835185744428,synthetic illustration
0.06,0.7,0.4,0.6839819253806121,synthetic illustration
0.07,0.7,0.4,0.681267850006091,synthetic illustration
0.08,0.7,0.4,0.6785414201865708,synthetic illustration
0.09,0.7,0.4,0.6758027667708961,synthetic illustration
0.1,0.7,0.4,0.673052023710673,synthetic illustration
0.11,0.7,0.4,0.6702893280483577,synthetic illustration
0.12,0.7,0.4,0.6675148199038188,synthetic illustration
0.13,0.7,0.4,0.6647286424593583,synthetic illustration
0.14,0.7,0.4,0.661930941943185,synthetic illustration
0.15,0.7,0.4,0.6591218676113318,synthetic illustration
0.16,0.7,0.4,0.6563015717280091,synthetic illustration
0.17,0.7,0.4,0.6534702095443896,synthetic illustration
0.18,0.7,0.4,0.6506279392758202,synthetic illustration
0.19,0.7,0.4,0.6477749220774579,synthetic illustration
0.2,0.7,0.4,0.6449113220183279,synthetic illustration
0.21,0.7,0.4,0.6420373060538035,synthetic illustration
0.22,0.7,0.4,0.6391530439965089,synthetic illustration
0.23,0.7,0.4,0.636258708485648,synthetic illustration
0.24,0.7,0.4,0.6333544749547624,synthetic illustration
0.25,0.7,0.4,0.630440521597922,synthetic illustration
0.26,0.7,0.4,0.6275170293343592,synthetic illustration
0.27,0.7,0.4,0.6245841817715504,synthetic illustration
0.28,0.7,0.4,0.6216421651667567,synthetic illustration
0.29,0.7,0.4,0.6186911683870332,synthetic illustration
0.3,0.7,0.4,0.6157313828677212,synthetic illustration
0.31,0.7,0.4,0.6127630025694347,synthetic illustration
0.32,0.7,0.4,0.6097862239335589,synthetic illustration
0.33,0.7,0.4,0.6068012458362751,synthetic illustration
0.34,0.7,0.4,0.6038082695411324,synthetic illustration
0.35000000000000003,0.7,0.4,0.600807498650183,synthetic illustration
0.36,0.7,0.4,0.5977991390537056,synthetic illustration
0.37,0.7,0.4,0.5947833988785364,synthetic illustration
0.38,0.7,0.4,0.591760488435032,synthetic illustration
0.39,0.7,0.4,0.5887306201626924,synthetic illustration
0.4,0.7,0.4,0.5856940085744652,synthetic illustration
0.41000000000000003,0.7,0.4,0.5826508701997654,synthetic illustration
0.42,0.7,0.4,0.5796014235262342,synthetic illustration
0.43,0.7,0.4,0.5765458889402724,synthetic illustration
0.44,0.7,0.4,0.5734844886663762,synthetic illustration
0.45,0.7,0.4,0.5704174467053121,synthetic illustration
0.46,0.7,0.4,0.5673449887711632,synthetic illustration
0.47000000000000003,0.7,0.4,0.5642673422272831,synthetic illustration
0.48,0.7,0.4,0.5611847360211942,synthetic illustration
0.49,0.7,0.4,0.5580974006184696,synthetic illustration
0.5,0.7,0.4,0.5550055679356352,synthetic illustration
0.51,0.7,0.4,0.5519094712721349,synthetic illustration
0.52,0.7,0.4,0.548809345241398,synthetic illustration
0.53,0.7,0.4,0.5457054257010531,synthetic illustration
0.54,0.7,0.4,0.5425979496823284,synthetic illustration
0.55,0.7,0.4,0.5394871553186871,synthetic illustration
0.56,0.7,0.4,0.5363732817737373,synthetic illustration
0.5700000000000001,0.7,0.4,0.5332565691684685,synthetic illustration
0.58,0.7,0.4,0.5301372585078541,synthetic illustration
0.59,0.7,0.4,0.5270155916068735,synthetic illustration
0.6,0.7,0.4,0.5238918110159976,synthetic illustration
0.61,0.7,0.4,0.5207661599461872,synthetic illustration
0.62,0.7,0.4,0.5176388821934547,synthetic illustration
0.63,0.7,0.4,0.5145102220630362,synthetic illustration
0.64,0.7,0.4,0.5113804242932262,synthetic illustration
0.65,0.7,0.4,0.5082497339789234,synthetic illustration
0.66,0.7,0.4,0.5051183964949394,synthetic illustration
0.67,0.7,0.4,0.5019866574191213,synthetic illustration
0.68,0.7,0.4,0.4988547624553388,synthetic illustration
0.6900000000000001,0.7,0.4,0.49572295735638644,synthetic illustration
0.7000000000000001,0.7,0.4,0.4925914878468544,synthetic illustration
0.71,0.7,0.4,0.489460599546018,synthetic illustration
0.72,0.7,0.4,0.48633053789079606,synthetic illustration
0.73,0.7,0.4,0.48320154805883253,synthetic illustration
0.74,0.7,0.4,0.48007387489175,synthetic illustration
0.75,0.7,0.4,0.4769477628186271,synthetic illustration
0.76,0.7,0.4,0.47382345577975005,synthetic illustration
0.77,0.7,0.4,0.4707011971506898,synthetic illustration
0.78,0.7,0.4,0.4675812296667542,synthetic illustration
0.79,0.7,0.4,0.46446379534786353,synthetic illustration
0.8,0.7,0.4,0.4613491354239008,synthetic illustration
0.81,0.7,0.4,0.4582374902605851,synthetic illustration
0.8200000000000001,0.7,0.4,0.4551290992859134,synthetic illustration
0.8300000000000001,0.7,0.4,0.4520242009172219,synthetic illustration
0.84,0.7,0.4,0.44892303248891097,synthetic illustration
0.85,0.7,0.4,0.44582583018088046,synthetic illustration
0.86,0.7,0.4,0.44273282894772054,synthetic illustration
0.87,0.7,0.4,0.43964426244870336,synthetic illustration
0.88,0.7,0.4,0.43656036297861567,synthetic illustration
0.89,0.7,0.4,0.43348136139947957,synthetic illustration
0.9,0.7,0.4,0.43040748707319926,synthetic illustration
0.91,0.7,0.4,0.42733896779517455,synthetic illustration
0.92,0.7,0.4,0.4242760297289232,synthetic illustration
0.93,0.7,0.4,0.42121889734174783,synthetic illustration
0.9400000000000001,0.7,0.4,0.4181677933414845,synthetic illustration
0.9500000000000001,0.7,0.4,0.415122938614371,synthetic illustration
0.96,0.7,0.4,0.41208455216406814,synthetic illustration
0.97,0.7,0.4,0.40905285105186706,synthetic illustration
0.98,0.7,0.4,0.406028050338117,synthetic illustration
0.99,0.7,0.4,0.40301036302490245,synthetic illustration
1.0,0.7,0.4,0.4,synthetic illustration
