metric,step_start,step_end,privileged_value,trsd_value,trsd_relative_difference_percent
normalized_objective,1,8,1.0,1.0,0.0
normalized_objective,9,16,0.945164308643558,0.9980213655516452,5.59236700166391
normalized_objective,17,24,0.9128180421961362,0.915992227000028,0.3477346696889491
normalized_objective,25,32,1.152801662999945,0.8822964301429889,-23.465027986949476
normalized_objective,33,40,0.8971516792933775,0.8499860385015121,-5.257264950895971
normalized_objective,41,48,0.9271198993546184,0.8814596441000184,-4.924956878434462
normalized_objective,49,56,0.999771645885321,0.8432107989431425,-15.659660642159956
normalized_objective,57,64,0.9670011973879729,0.8126669276712587,-15.960090859617969
student_nll,1,8,0.17816669010790065,0.18157109107443117,1.910795426725817
student_nll,9,16,0.2061805717858275,0.2023866181850001,-1.8401120764998258
student_nll,17,24,0.13095582277499318,0.1304625727235731,-0.37665377603528766
student_nll,25,32,0.1191140695387313,0.12268607681264897,2.9988122207143544
student_nll,33,40,0.10553757508751005,0.09682312999920129,-8.257196625072053
student_nll,41,48,0.13717555738462195,0.11280180643383356,-17.768290076961488
student_nll,49,56,0.144164380456802,0.1074150972344744,-25.491236535601317
student_nll,57,64,0.1834630354848681,0.11868813954637744,-35.30678306248412
style_error_per_token,1,8,0.13342208615398715,0.07135864921238111,-46.516614100889136
style_error_per_token,9,16,0.10156367433832046,0.06525005711778598,-35.75453276687252
style_error_per_token,17,24,0.11155767620734448,0.06691253693060266,-40.01978240723033
style_error_per_token,25,32,0.1334516030770761,0.0883486231347914,-33.797256010656604
style_error_per_token,33,40,0.14723260953626263,0.07824062141889655,-46.85917632966609
style_error_per_token,41,48,0.128998536330003,0.08631164388884284,-33.09098975507668
style_error_per_token,49,56,0.15748599431064225,0.09256536466581328,-41.22311315936614
style_error_per_token,57,64,0.1122813937030261,0.05856088248405667,-47.8445354544273
task_error_per_token,1,8,0.01217601759895055,0.008079395649839543,-33.64500679979384
task_error_per_token,9,16,0.01484438873592753,0.009141887862356727,-38.41519496029616
task_error_per_token,17,24,0.00970291182636306,0.006783715806392875,-30.085772933014333
task_error_per_token,25,32,0.012000562506206965,0.00638458836800341,-46.79759082375384
task_error_per_token,33,40,0.012238746145392158,0.006496234053997929,-46.92075497910595
task_error_per_token,41,48,0.0128797196307361,0.006845277596554189,-46.852277900377175
task_error_per_token,49,56,0.014292501031041996,0.006090632004442673,-57.38582077962157
task_error_per_token,57,64,0.014031653522544952,0.004553862147107402,-67.5457910944664
