method,step_start,step_end,distillation_loss,normalized_objective,student_nll,teacher_student_kl,style_error_per_token,task_error_per_token,mean_response_tokens
Privileged-SD,1,8,0.01510206606644715,1.0,0.17816669010790065,0.01510206606644715,0.13342208615398715,0.01217601759895055,4096.0
Privileged-SD,9,16,0.014273933832782859,0.945164308643558,0.2061805717858275,0.01427393374926386,0.10156367433832046,0.01484438873592753,4030.875
Privileged-SD,17,24,0.01378543837989099,0.9128180421961362,0.13095582277499318,0.01378543851775543,0.11155767620734448,0.00970291182636306,3894.0
Privileged-SD,25,32,0.01740968687613531,1.152801662999945,0.1191140695387313,0.017409687060737835,0.1334516030770761,0.012000562506206965,3775.75
Privileged-SD,33,40,0.013548843932312593,0.8971516792933775,0.10553757508751005,0.013548843932312593,0.14723260953626263,0.012238746145392158,4096.0
Privileged-SD,41,48,0.01400142597157128,0.9271198993546184,0.13717555738462195,0.014001426012267733,0.128998536330003,0.0128797196307361,3835.0
Privileged-SD,49,56,0.015098617447520724,0.999771645885321,0.144164380456802,0.015098617392806733,0.15748599431064225,0.014292501031041996,3678.875
Privileged-SD,57,64,0.014603715969286668,0.9670011973879729,0.1834630354848681,0.014603715887228903,0.1122813937030261,0.014031653522544952,3389.875
TRSD,1,8,0.004949683322689191,1.0,0.18157109107443117,0.004949683330837685,0.07135864921238111,0.008079395649839543,8391.75
TRSD,9,16,0.0049398897087584714,0.9980213655516452,0.2023866181850001,0.00493988970394837,0.06525005711778598,0.009141887862356727,7458.5
TRSD,17,24,0.004533871449694971,0.915992227000028,0.1304625727235731,0.004533871425030577,0.06691253693060266,0.006783715806392875,5814.875
TRSD,25,32,0.004367087925946961,0.8822964301429889,0.12268607681264897,0.004367087935073253,0.0883486231347914,0.00638458836800341,8339.375
TRSD,33,40,0.004207161719289587,0.8499860385015121,0.09682312999920129,0.004207161647768473,0.07824062141889655,0.006496234053997929,6821.0
TRSD,41,48,0.004362946100025411,0.8814596441000184,0.11280180643383356,0.004362946136290241,0.08631164388884284,0.006845277596554189,6726.125
TRSD,49,56,0.004173626429040301,0.8432107989431425,0.1074150972344744,0.004173626418249687,0.09256536466581328,0.006090632004442673,6300.875
TRSD,57,64,0.004022443938795492,0.8126669276712587,0.11868813954637744,0.004022443875238835,0.05856088248405667,0.004553862147107402,4281.75
