method,dataset,delta_vs_base_percentage_points,strict_acc1_percent
Privilege-SD 16,AMC23,6.024096385542165,71.08433734939759
Privilege-SD 16,AIME24,-3.3333333333333326,46.666666666666664
Privilege-SD 16,AIME25,0.0,26.666666666666668
Privilege-SD 16,Combined,2.7972027972028024,56.64335664335665
TRSD 16,AMC23,1.2048192771084376,66.26506024096386
TRSD 16,AIME24,-3.3333333333333326,46.666666666666664
TRSD 16,AIME25,0.0,26.666666666666668
TRSD 16,Combined,0.0,53.84615384615385
Privilege-SD 64,AMC23,12.048192771084343,77.10843373493977
Privilege-SD 64,AIME24,6.666666666666665,56.666666666666664
Privilege-SD 64,AIME25,3.3333333333333326,30.0
Privilege-SD 64,Combined,9.090909090909093,62.93706293706294
TRSD 64,AMC23,19.277108433734945,84.33734939759036
TRSD 64,AIME24,13.33333333333333,63.333333333333336
TRSD 64,AIME25,16.666666666666668,43.333333333333336
TRSD 64,Combined,17.48251748251749,71.32867132867133
