method,trajectory,optimizer_update,training_step,trajectory_microsteps,chunk_size_tokens,response_tokens,distillation_loss,teacher_student_reverse_kl,student_token_nll,episode_seconds,projection_alpha,projected_target_kl,kl_budget,query_id
Privilege-SD 64,1,1,32,32,128,4096,0.02182911115232855,0.02182911115232855,0.19340990763157606,123.10129424603656,,,,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9
Privilege-SD 64,2,2,64,32,128,4096,0.006540843885886716,0.006540843885886716,0.09505459293723106,123.39935970801162,,,,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0
Privilege-SD 64,3,3,96,32,128,4096,0.005889393603865756,0.005889393603865756,0.1400402570143342,122.95483366097324,,,,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e
Privilege-SD 64,4,4,128,32,128,4096,0.011448284407379106,0.011448284407379106,0.21109999483451247,122.60077837802237,,,,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38
Privilege-SD 64,5,5,160,32,128,4096,0.010261164970870595,0.010261164970870595,0.1315949158743024,122.37005208601477,,,,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0
Privilege-SD 64,6,6,192,32,128,4096,0.030317336746520596,0.030317336746520596,0.24552086554467678,122.45013941999059,,,,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad
Privilege-SD 64,7,7,224,32,128,4096,0.014140837549348362,0.014140837549348362,0.2139062681235373,122.77294663398061,,,,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c
Privilege-SD 64,8,8,256,32,128,4096,0.020389556215377524,0.020389556215377524,0.19470671890303493,124.56888836302096,,,,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2
Privilege-SD 64,9,9,288,32,128,4093,0.016263246743619675,0.016263245926446797,0.24338744224326522,124.530677510018,,,,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641
Privilege-SD 64,10,10,320,32,128,4096,0.015329110974562354,0.015329110974562354,0.2322557345032692,125.10264804196777,,,,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e
Privilege-SD 64,11,11,352,32,128,4096,0.010956093194181449,0.010956093194181449,0.1661003939807415,123.4035315120127,,,,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08
Privilege-SD 64,12,12,384,32,128,4096,0.013840521642123349,0.013840521642123349,0.19481306849047542,123.15944779699203,,,,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f
Privilege-SD 64,13,13,412,28,128,3578,0.017428048035071697,0.017428048184092583,0.1818474737074603,108.06011038698489,,,,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437
Privilege-SD 64,14,14,444,32,128,4096,0.011579891288420185,0.011579891288420185,0.22964676236733794,122.86322258698056,,,,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2
Privilege-SD 64,15,15,476,32,128,4096,0.015588858870614786,0.015588858870614786,0.2096041450276971,121.61917709599948,,,,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051
Privilege-SD 64,16,16,508,32,128,4096,0.013205699913669378,0.013205699913669378,0.1917895539663732,120.66816627199296,,,,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e
Privilege-SD 64,17,17,540,32,128,4096,0.0054265706348815,0.0054265706348815,0.12047837255522609,119.81611213897122,,,,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7
Privilege-SD 64,18,18,572,32,128,4096,0.0159893930904218,0.0159893930904218,0.15184904960915446,120.06061126897112,,,,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33
Privilege-SD 64,19,19,596,24,128,2969,0.03442719503073022,0.0344271956268245,0.1656894394748337,86.20434202405158,,,,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a
